Areacode,Placement,Registration,Firstscore,Convertedscore,Percentile,Letterindex
1,1,510100239,87,787,99.79,A
1,2,510100729,76,724,98.73,A-
1,3 = 4,510100748,74,711,98.27,A-
1,3 = 4,510100180,74,711,98.27,A-
1,5 = 6,510100543,69,694,97.35,B
1,5 = 6,510101419,69,694,97.35,B
1,7,510100170,67,685,96.79,B
1,8,510100694,65,676,96.11,B
1,9,510100664,64,672,95.77,B
1,10,510100346,63,667,95.29,B
1,11 = 12,510101109,61,659,94.38,B
1,11 = 12,510101247,61,659,94.38,B
1,13 = 15,510100254,60,654,93.79,B
1,13 = 15,510100687,60,654,93.79,B
1,13 = 15,510100796,60,654,93.79,B
1,16,510100607,59,649,93.23,B-
1,17 = 20,510100751,58,645,92.67,B-
1,17 = 20,510100889,58,645,92.67,B-
1,17 = 20,510100928,58,645,92.67,B-
1,17 = 20,510100360,58,645,92.67,B-
1,21 = 22,510100946,57,640,91.95,B-
1,21 = 22,510100855,57,640,91.95,B-
1,23 = 24,510101446,55,631,90.49,B-
1,23 = 24,510101463,55,631,90.49,B-
1,25,510101191,54,627,89.79,B-
1,26 = 31,510101289,50,608,86.03,B-
1,26 = 31,510100814,50,608,86.03,B-
1,26 = 31,510100872,50,608,86.03,B-
1,26 = 31,510100428,50,608,86.03,B-
1,26 = 31,510100295,50,608,86.03,B-
1,26 = 31,510100343,50,608,86.03,B-
1,32 = 34,510100225,49,603,84.92,B-
1,32 = 34,510100184,49,603,84.92,B-
1,32 = 34,510100952,49,603,84.92,B-
1,35 = 38,510100651,48,599,83.83,C
1,35 = 38,510100717,48,599,83.83,C
1,35 = 38,510101499,48,599,83.83,C
1,35 = 38,510101901,48,599,83.83,C
1,39 = 40,510100797,47,594,82.7,C
1,39 = 40,510100197,47,594,82.7,C
1,41 = 44,510100271,46,590,81.54,C
1,41 = 44,510100265,46,590,81.54,C
1,41 = 44,510101837,46,590,81.54,C
1,41 = 44,510102331,46,590,81.54,C
1,45 = 47,510101282,45,585,80.24,C
1,45 = 47,510101171,45,585,80.24,C
1,45 = 47,510100217,45,585,80.24,C
1,48,510100735,44,580,78.89,C
1,49 = 53,510100908,43,575,77.19,C
1,49 = 53,510100551,43,575,77.19,C
1,49 = 53,510100401,43,575,77.19,C
1,49 = 53,510100421,43,575,77.19,C
1,49 = 53,510101321,43,575,77.19,C
1,54 = 57,510100018,42,569,75.33,C
1,54 = 57,510100947,42,569,75.33,C
1,54 = 57,510100957,42,569,75.33,C
1,54 = 57,510100819,42,569,75.33,C
1,58 = 62,510100807,41,563,73.65,C
1,58 = 62,510100762,41,563,73.65,C
1,58 = 62,510100407,41,563,73.65,C
1,58 = 62,510101383,41,563,73.65,C
1,58 = 62,510101453,41,563,73.65,C
1,63 = 65,510100120,40,557,71.91,C
1,63 = 65,510100646,40,557,71.91,C
1,63 = 65,510100627,40,557,71.91,C
1,66 = 68,510100976,39,552,69.94,C
1,66 = 68,510101400,39,552,69.94,C
1,66 = 68,510101032,39,552,69.94,C
1,69 = 73,510101667,38,546,67.79,C-
1,69 = 73,510100829,38,546,67.79,C-
1,69 = 73,510100840,38,546,67.79,C-
1,69 = 73,510100636,38,546,67.79,C-
1,69 = 73,510100366,38,546,67.79,C-
1,74 = 80,510100122,37,540,65.57,C-
1,74 = 80,510100045,37,540,65.57,C-
1,74 = 80,510100066,37,540,65.57,C-
1,74 = 80,510100649,37,540,65.57,C-
1,74 = 80,510100988,37,540,65.57,C-
1,74 = 80,510100913,37,540,65.57,C-
1,74 = 80,510101548,37,540,65.57,C-
1,81 = 82,510101510,36,534,63.16,C-
1,81 = 82,510101432,36,534,63.16,C-
1,83 = 87,510101000,35,527,60.5,C-
1,83 = 87,510102019,35,527,60.5,C-
1,83 = 87,510100848,35,527,60.5,C-
1,83 = 87,510100089,35,527,60.5,C-
1,83 = 87,510100266,35,527,60.5,C-
1,88 = 94,510100358,34,519,57.7,C-
1,88 = 94,510100803,34,519,57.7,C-
1,88 = 94,510100991,34,519,57.7,C-
1,88 = 94,510100577,34,519,57.7,C-
1,88 = 94,510102148,34,519,57.7,C-
1,88 = 94,510101168,34,519,57.7,C-
1,88 = 94,510101850,34,519,57.7,C-
1,95 = 99,510101451,33,512,54.69,C-
1,95 = 99,510101377,33,512,54.69,C-
1,95 = 99,510102462,33,512,54.69,C-
1,95 = 99,510100741,33,512,54.69,C-
1,95 = 99,510100994,33,512,54.69,C-
1,100 = 107,510100901,32,504,51.73,C-
1,100 = 107,510100923,32,504,51.73,C-
1,100 = 107,510100569,32,504,51.73,C-
1,100 = 107,510100303,32,504,51.73,C-
1,100 = 107,510100048,32,504,51.73,C-
1,100 = 107,510100157,32,504,51.73,C-
1,100 = 107,510101309,32,504,51.73,C-
1,100 = 107,510101412,32,504,51.73,C-
1,108 = 114,510101701,31,496,48.57,D
1,108 = 114,510101630,31,496,48.57,D
1,108 = 114,510101249,31,496,48.57,D
1,108 = 114,510100293,31,496,48.57,D
1,108 = 114,510100809,31,496,48.57,D
1,108 = 114,510100816,31,496,48.57,D
1,108 = 114,510100650,31,496,48.57,D
1,115 = 124,510100427,30,487,45.01,D
1,115 = 124,510100398,30,487,45.01,D
1,115 = 124,510100017,30,487,45.01,D
1,115 = 124,510100034,30,487,45.01,D
1,115 = 124,510100040,30,487,45.01,D
1,115 = 124,510101310,30,487,45.01,D
1,115 = 124,510101237,30,487,45.01,D
1,115 = 124,510101196,30,487,45.01,D
1,115 = 124,510101203,30,487,45.01,D
1,115 = 124,510102017,30,487,45.01,D
1,125 = 140,510101539,29,479,41.53,D
1,125 = 140,510101222,29,479,41.53,D
1,125 = 140,510100985,29,479,41.53,D
1,125 = 140,510101304,29,479,41.53,D
1,125 = 140,510101254,29,479,41.53,D
1,125 = 140,510101263,29,479,41.53,D
1,125 = 140,510101395,29,479,41.53,D
1,125 = 140,510100100,29,479,41.53,D
1,125 = 140,510100123,29,479,41.53,D
1,125 = 140,510100211,29,479,41.53,D
1,125 = 140,510100572,29,479,41.53,D
1,125 = 140,510100424,29,479,41.53,D
1,125 = 140,510100623,29,479,41.53,D
1,125 = 140,510100733,29,479,41.53,D
1,125 = 140,510100868,29,479,41.53,D
1,125 = 140,510100896,29,479,41.53,D
1,141 = 150,510100945,28,470,38.06,D
1,141 = 150,510100949,28,470,38.06,D
1,141 = 150,510100637,28,470,38.06,D
1,141 = 150,510100638,28,470,38.06,D
1,141 = 150,510100275,28,470,38.06,D
1,141 = 150,510100161,28,470,38.06,D
1,141 = 150,510100141,28,470,38.06,D
1,141 = 150,510101845,28,470,38.06,D
1,141 = 150,513103596,28,470,38.06,D
1,141 = 150,510102493,28,470,38.06,D
1,151 = 161,510102134,27,461,34.75,D
1,151 = 161,510102164,27,461,34.75,D
1,151 = 161,510101155,27,461,34.75,D
1,151 = 161,510101201,27,461,34.75,D
1,151 = 161,510100151,27,461,34.75,D
1,151 = 161,510100009,27,461,34.75,D
1,151 = 161,510100011,27,461,34.75,D
1,151 = 161,510100221,27,461,34.75,D
1,151 = 161,510100430,27,461,34.75,D
1,151 = 161,510100773,27,461,34.75,D
1,151 = 161,510100836,27,461,34.75,D
1,162 = 173,510100956,26,452,31.6,D
1,162 = 173,510100431,26,452,31.6,D
1,162 = 173,510100620,26,452,31.6,D
1,162 = 173,510100090,26,452,31.6,D
1,162 = 173,510100091,26,452,31.6,D
1,162 = 173,510100132,26,452,31.6,D
1,162 = 173,510101034,26,452,31.6,D
1,162 = 173,510101661,26,452,31.6,D
1,162 = 173,510101602,26,452,31.6,D
1,162 = 173,510101902,26,452,31.6,D
1,162 = 173,510101896,26,452,31.6,D
1,162 = 173,510101495,26,452,31.6,D
1,174 = 179,510101568,25,444,28.5,D-
1,174 = 179,510101611,25,444,28.5,D-
1,174 = 179,510100124,25,444,28.5,D-
1,174 = 179,510100369,25,444,28.5,D-
1,174 = 179,510100699,25,444,28.5,D-
1,174 = 179,510100812,25,444,28.5,D-
1,180 = 188,510100982,24,434,25.43,D-
1,180 = 188,510100596,24,434,25.43,D-
1,180 = 188,510100670,24,434,25.43,D-
1,180 = 188,510100378,24,434,25.43,D-
1,180 = 188,510100384,24,434,25.43,D-
1,180 = 188,510100278,24,434,25.43,D-
1,180 = 188,510100052,24,434,25.43,D-
1,180 = 188,510101852,24,434,25.43,D-
1,180 = 188,510102501,24,434,25.43,D-
1,189 = 195,510101406,23,424,22.38,D-
1,189 = 195,510101250,23,424,22.38,D-
1,189 = 195,510100092,23,424,22.38,D-
1,189 = 195,510100706,23,424,22.38,D-
1,189 = 195,510100691,23,424,22.38,D-
1,189 = 195,510100798,23,424,22.38,D-
1,189 = 195,510100921,23,424,22.38,D-
1,196 = 202,510100136,22,414,19.52,D-
1,196 = 202,510100121,22,414,19.52,D-
1,196 = 202,510100159,22,414,19.52,D-
1,196 = 202,510100335,22,414,19.52,D-
1,196 = 202,510101172,22,414,19.52,D-
1,196 = 202,510101238,22,414,19.52,D-
1,196 = 202,510101508,22,414,19.52,D-
1,203 = 205,510102193,21,403,16.6,D-
1,203 = 205,510100419,21,403,16.6,D-
1,203 = 205,510100824,21,403,16.6,D-
1,206 = 212,510100890,20,391,13.76,F
1,206 = 212,510100843,20,391,13.76,F
1,206 = 212,510100677,20,391,13.76,F
1,206 = 212,510100318,20,391,13.76,F
1,206 = 212,510100093,20,391,13.76,F
1,206 = 212,510102378,20,391,13.76,F
1,206 = 212,510102107,20,391,13.76,F
1,213 = 218,510101935,19,377,11,F
1,213 = 218,510101679,19,377,11,F
1,213 = 218,510101215,19,377,11,F
1,213 = 218,510100086,19,377,11,F
1,213 = 218,510100087,19,377,11,F
1,213 = 218,510100139,19,377,11,F
1,219 = 222,510100357,18,363,8.56,F
1,219 = 222,510101357,18,363,8.56,F
1,219 = 222,510101932,18,363,8.56,F
1,219 = 222,510102526,18,363,8.56,F
1,223 = 226,510101666,17,350,6.7,F
1,223 = 226,510100067,17,350,6.7,F
1,223 = 226,510100068,17,350,6.7,F
1,223 = 226,510100057,17,350,6.7,F
1,227 = 228,510102500,16,336,5.05,F
1,227 = 228,510102161,16,336,5.05,F
1,229,510101431,15,320,3.56,F
1,230,510101461,14,303,2.44,F
1,231,510102543,13,288,1.68,F
2,1,510200554,72,704,97.98,A-
2,2,510200395,67,685,96.79,B
2,3,510200203,66,680,96.44,B
2,4 = 5,510200563,63,667,95.29,B
2,4 = 5,510200693,63,667,95.29,B
2,6 = 7,510200181,61,659,94.38,B
2,6 = 7,510200467,61,659,94.38,B
2,8,510200359,59,649,93.23,B-
2,9,510200829,56,635,91.18,B-
2,10,510200215,55,631,90.49,B-
2,11,510200779,54,627,89.79,B-
2,12,510200417,53,623,88.98,B-
2,13 = 14,510200416,52,618,88.12,B-
2,13 = 14,510200194,52,618,88.12,B-
2,15 = 17,510200033,51,612,87.16,B-
2,15 = 17,510200334,51,612,87.16,B-
2,15 = 17,510200392,51,612,87.16,B-
2,18 = 19,510200305,50,608,86.03,B-
2,18 = 19,510201136,50,608,86.03,B-
2,20,510200202,49,603,84.92,B-
2,21 = 22,510200034,48,599,83.83,C
2,21 = 22,510200440,48,599,83.83,C
2,23,510200178,47,594,82.7,C
2,24,510200191,46,590,81.54,C
2,25,510200623,45,585,80.24,C
2,26,510201020,44,580,78.89,C
2,27 = 28,510200249,43,575,77.19,C
2,27 = 28,510200085,43,575,77.19,C
2,29 = 34,510200466,42,569,75.33,C
2,29 = 34,510200419,42,569,75.33,C
2,29 = 34,510200608,42,569,75.33,C
2,29 = 34,510200474,42,569,75.33,C
2,29 = 34,510200651,42,569,75.33,C
2,29 = 34,510201486,42,569,75.33,C
2,35 = 39,510201597,41,563,73.65,C
2,35 = 39,510200432,41,563,73.65,C
2,35 = 39,510200436,41,563,73.65,C
2,35 = 39,510200274,41,563,73.65,C
2,35 = 39,510200235,41,563,73.65,C
2,40 = 42,510200192,40,557,71.91,C
2,40 = 42,510200182,40,557,71.91,C
2,40 = 42,510200410,40,557,71.91,C
2,43 = 47,510200362,39,552,69.94,C
2,43 = 47,510200282,39,552,69.94,C
2,43 = 47,510200327,39,552,69.94,C
2,43 = 47,510201151,39,552,69.94,C
2,43 = 47,510201814,39,552,69.94,C
2,48 = 52,510200817,38,546,67.79,C-
2,48 = 52,510200723,38,546,67.79,C-
2,48 = 52,510200584,38,546,67.79,C-
2,48 = 52,510200275,38,546,67.79,C-
2,48 = 52,510200188,38,546,67.79,C-
2,53 = 55,510200179,37,540,65.57,C-
2,53 = 55,510200595,37,540,65.57,C-
2,53 = 55,510201131,37,540,65.57,C-
2,56 = 59,510201693,36,534,63.16,C-
2,56 = 59,510200538,36,534,63.16,C-
2,56 = 59,510200733,36,534,63.16,C-
2,56 = 59,510200652,36,534,63.16,C-
2,60 = 62,510200332,35,527,60.5,C-
2,60 = 62,510201242,35,527,60.5,C-
2,60 = 62,510201270,35,527,60.5,C-
2,63 = 64,510200142,34,519,57.7,C-
2,63 = 64,510200840,34,519,57.7,C-
2,65 = 70,510200864,33,512,54.69,C-
2,65 = 70,510200666,33,512,54.69,C-
2,65 = 70,510200753,33,512,54.69,C-
2,65 = 70,510200463,33,512,54.69,C-
2,65 = 70,510201241,33,512,54.69,C-
2,65 = 70,510201260,33,512,54.69,C-
2,71 = 73,510201690,32,504,51.73,C-
2,71 = 73,510200341,32,504,51.73,C-
2,71 = 73,510200866,32,504,51.73,C-
2,74 = 77,510200696,31,496,48.57,D
2,74 = 77,510200509,31,496,48.57,D
2,74 = 77,510200649,31,496,48.57,D
2,74 = 77,513101067,31,496,48.57,D
2,78 = 79,510200273,30,487,45.01,D
2,78 = 79,510200888,30,487,45.01,D
2,80 = 81,510200716,29,479,41.53,D
2,80 = 81,510201547,29,479,41.53,D
2,82 = 87,510201479,28,470,38.06,D
2,82 = 87,510201203,28,470,38.06,D
2,82 = 87,510200617,28,470,38.06,D
2,82 = 87,510201153,28,470,38.06,D
2,82 = 87,510200364,28,470,38.06,D
2,82 = 87,510200153,28,470,38.06,D
2,88 = 91,510200216,27,461,34.75,D
2,88 = 91,510200272,27,461,34.75,D
2,88 = 91,510200982,27,461,34.75,D
2,88 = 91,510201002,27,461,34.75,D
2,92 = 99,510200927,26,452,31.6,D
2,92 = 99,510201177,26,452,31.6,D
2,92 = 99,510201033,26,452,31.6,D
2,92 = 99,510201075,26,452,31.6,D
2,92 = 99,510200507,26,452,31.6,D
2,92 = 99,510200671,26,452,31.6,D
2,92 = 99,510201473,26,452,31.6,D
2,92 = 99,510201764,26,452,31.6,D
2,100 = 106,510201751,25,444,28.5,D-
2,100 = 106,510201472,25,444,28.5,D-
2,100 = 106,510200795,25,444,28.5,D-
2,100 = 106,510200502,25,444,28.5,D-
2,100 = 106,510201055,25,444,28.5,D-
2,100 = 106,510201060,25,444,28.5,D-
2,100 = 106,510200141,25,444,28.5,D-
2,107 = 111,510200333,24,434,25.43,D-
2,107 = 111,510200345,24,434,25.43,D-
2,107 = 111,510200422,24,434,25.43,D-
2,107 = 111,510201088,24,434,25.43,D-
2,107 = 111,510201573,24,434,25.43,D-
2,112 = 116,510201275,23,424,22.38,D-
2,112 = 116,510201156,23,424,22.38,D-
2,112 = 116,510201005,23,424,22.38,D-
2,112 = 116,510200718,23,424,22.38,D-
2,112 = 116,510200266,23,424,22.38,D-
2,117 = 122,510200161,22,414,19.52,D-
2,117 = 122,510200500,22,414,19.52,D-
2,117 = 122,510201291,22,414,19.52,D-
2,117 = 122,510201345,22,414,19.52,D-
2,117 = 122,510201522,22,414,19.52,D-
2,117 = 122,510201500,22,414,19.52,D-
2,123 = 135,510201510,21,403,16.6,D-
2,123 = 135,510201316,21,403,16.6,D-
2,123 = 135,510201747,21,403,16.6,D-
2,123 = 135,510200715,21,403,16.6,D-
2,123 = 135,510200818,21,403,16.6,D-
2,123 = 135,510201009,21,403,16.6,D-
2,123 = 135,510200891,21,403,16.6,D-
2,123 = 135,510201189,21,403,16.6,D-
2,123 = 135,510201147,21,403,16.6,D-
2,123 = 135,510200098,21,403,16.6,D-
2,123 = 135,510200042,21,403,16.6,D-
2,123 = 135,510200244,21,403,16.6,D-
2,123 = 135,510200314,21,403,16.6,D-
2,136 = 140,510200289,20,391,13.76,F
2,136 = 140,510201018,20,391,13.76,F
2,136 = 140,510201813,20,391,13.76,F
2,136 = 140,510201302,20,391,13.76,F
2,136 = 140,510201307,20,391,13.76,F
2,141 = 150,510201309,19,377,11,F
2,141 = 150,510201294,19,377,11,F
2,141 = 150,510201244,19,377,11,F
2,141 = 150,513102805,19,377,11,F
2,141 = 150,510200988,19,377,11,F
2,141 = 150,510200468,19,377,11,F
2,141 = 150,510200163,19,377,11,F
2,141 = 150,510200156,19,377,11,F
2,141 = 150,510200068,19,377,11,F
2,141 = 150,510200124,19,377,11,F
2,151 = 157,510200378,18,363,8.56,F
2,151 = 157,510201089,18,363,8.56,F
2,151 = 157,510200478,18,363,8.56,F
2,151 = 157,510201328,18,363,8.56,F
2,151 = 157,510201348,18,363,8.56,F
2,151 = 157,510201792,18,363,8.56,F
2,151 = 157,510201602,18,363,8.56,F
2,158 = 162,510201696,17,350,6.7,F
2,158 = 162,510201337,17,350,6.7,F
2,158 = 162,510201247,17,350,6.7,F
2,158 = 162,510200049,17,350,6.7,F
2,158 = 162,510200227,17,350,6.7,F
2,163 = 172,510200258,16,336,5.05,F
2,163 = 172,510200045,16,336,5.05,F
2,163 = 172,510200323,16,336,5.05,F
2,163 = 172,510200510,16,336,5.05,F
2,163 = 172,510201093,16,336,5.05,F
2,163 = 172,510201073,16,336,5.05,F
2,163 = 172,510201010,16,336,5.05,F
2,163 = 172,510200843,16,336,5.05,F
2,163 = 172,510201306,16,336,5.05,F
2,163 = 172,510201497,16,336,5.05,F
2,173 = 182,510201462,15,320,3.56,F
2,173 = 182,510201254,15,320,3.56,F
2,173 = 182,510201726,15,320,3.56,F
2,173 = 182,510201571,15,320,3.56,F
2,173 = 182,510201777,15,320,3.56,F
2,173 = 182,510200978,15,320,3.56,F
2,173 = 182,510501078,15,320,3.56,F
2,173 = 182,510200726,15,320,3.56,F
2,173 = 182,510200324,15,320,3.56,F
2,173 = 182,510200025,15,320,3.56,F
2,183 = 186,510200574,14,303,2.44,F
2,183 = 186,510200912,14,303,2.44,F
2,183 = 186,510201789,14,303,2.44,F
2,183 = 186,510201795,14,303,2.44,F
2,187 = 190,510201592,13,288,1.68,F
2,187 = 190,510201570,13,288,1.68,F
2,187 = 190,510201008,13,288,1.68,F
2,187 = 190,510200983,13,288,1.68,F
2,191 = 193,510201335,12,269,1.05,F
2,191 = 193,510201300,12,269,1.05,F
2,191 = 193,510201620,12,269,1.05,F
2,194,510201085,11,250,0.6,F
2,195,513101959,10,226,0.31,F
3,1,510300615,69,694,97.35,B
3,2 = 3,510300283,63,667,95.29,B
3,2 = 3,510301060,63,667,95.29,B
3,4,510300989,62,663,94.82,B
3,5,510300978,61,659,94.38,B
3,6,510301083,58,645,92.67,B-
3,7 = 8,510300288,57,640,91.95,B-
3,7 = 8,510300583,57,640,91.95,B-
3,9,510300680,56,635,91.18,B-
3,10 = 11,510300345,53,623,88.98,B-
3,10 = 11,510301249,53,623,88.98,B-
3,12 = 13,510302027,52,618,88.12,B-
3,12 = 13,510300151,52,618,88.12,B-
3,14 = 15,510300193,51,612,87.16,B-
3,14 = 15,510300354,51,612,87.16,B-
3,16 = 19,510300443,50,608,86.03,B-
3,16 = 19,510300606,50,608,86.03,B-
3,16 = 19,510300040,50,608,86.03,B-
3,16 = 19,510301729,50,608,86.03,B-
3,20 = 21,510300668,49,603,84.92,B-
3,20 = 21,510301115,49,603,84.92,B-
3,22 = 23,510300669,48,599,83.83,C
3,22 = 23,510300328,48,599,83.83,C
3,24 = 27,510300285,47,594,82.7,C
3,24 = 27,510300966,47,594,82.7,C
3,24 = 27,510301001,47,594,82.7,C
3,24 = 27,510301212,47,594,82.7,C
3,28 = 30,510301921,46,590,81.54,C
3,28 = 30,510300268,46,590,81.54,C
3,28 = 30,510300152,46,590,81.54,C
3,31 = 32,510300691,44,580,78.89,C
3,31 = 32,510301494,44,580,78.89,C
3,33 = 36,510301185,43,575,77.19,C
3,33 = 36,510301820,43,575,77.19,C
3,33 = 36,510300153,43,575,77.19,C
3,33 = 36,510300023,43,575,77.19,C
3,37 = 41,510300517,42,569,75.33,C
3,37 = 41,510300604,42,569,75.33,C
3,37 = 41,510300666,42,569,75.33,C
3,37 = 41,510301090,42,569,75.33,C
3,37 = 41,510301281,42,569,75.33,C
3,42,510300617,41,563,73.65,C
3,43 = 44,510301056,40,557,71.91,C
3,43 = 44,510300608,40,557,71.91,C
3,45 = 48,510300757,39,552,69.94,C
3,45 = 48,510300348,39,552,69.94,C
3,45 = 48,510300150,39,552,69.94,C
3,45 = 48,510300177,39,552,69.94,C
3,49 = 51,510300938,38,546,67.79,C-
3,49 = 51,510301082,38,546,67.79,C-
3,49 = 51,510301481,38,546,67.79,C-
3,52 = 54,510301111,37,540,65.57,C-
3,52 = 54,510300129,37,540,65.57,C-
3,52 = 54,510300022,37,540,65.57,C-
3,55 = 58,510300316,36,534,63.16,C-
3,55 = 58,510300607,36,534,63.16,C-
3,55 = 58,510300960,36,534,63.16,C-
3,55 = 58,510301147,36,534,63.16,C-
3,59 = 63,510301682,35,527,60.5,C-
3,59 = 63,510301139,35,527,60.5,C-
3,59 = 63,510300684,35,527,60.5,C-
3,59 = 63,510300407,35,527,60.5,C-
3,59 = 63,510300410,35,527,60.5,C-
3,64 = 69,510300446,34,519,57.7,C-
3,64 = 69,510300279,34,519,57.7,C-
3,64 = 69,510301130,34,519,57.7,C-
3,64 = 69,510301030,34,519,57.7,C-
3,64 = 69,510301006,34,519,57.7,C-
3,64 = 69,510301459,34,519,57.7,C-
3,70 = 75,510301953,33,512,54.69,C-
3,70 = 75,510301074,33,512,54.69,C-
3,70 = 75,510300941,33,512,54.69,C-
3,70 = 75,510300282,33,512,54.69,C-
3,70 = 75,510300341,33,512,54.69,C-
3,70 = 75,510300599,33,512,54.69,C-
3,76 = 77,510300702,32,504,51.73,C-
3,76 = 77,510300986,32,504,51.73,C-
3,78 = 85,510301017,31,496,48.57,D
3,78 = 85,510301018,31,496,48.57,D
3,78 = 85,510300676,31,496,48.57,D
3,78 = 85,510300363,31,496,48.57,D
3,78 = 85,510300291,31,496,48.57,D
3,78 = 85,510301852,31,496,48.57,D
3,78 = 85,510301279,31,496,48.57,D
3,78 = 85,510301190,31,496,48.57,D
3,86 = 92,510300281,30,487,45.01,D
3,86 = 92,510300226,30,487,45.01,D
3,86 = 92,510300634,30,487,45.01,D
3,86 = 92,510300673,30,487,45.01,D
3,86 = 92,510300675,30,487,45.01,D
3,86 = 92,510301145,30,487,45.01,D
3,86 = 92,510301085,30,487,45.01,D
3,93 = 103,510301041,29,479,41.53,D
3,93 = 103,510301021,29,479,41.53,D
3,93 = 103,510300916,29,479,41.53,D
3,93 = 103,510300920,29,479,41.53,D
3,93 = 103,510300930,29,479,41.53,D
3,93 = 103,510300602,29,479,41.53,D
3,93 = 103,510300600,29,479,41.53,D
3,93 = 103,510300296,29,479,41.53,D
3,93 = 103,510300297,29,479,41.53,D
3,93 = 103,510300048,29,479,41.53,D
3,93 = 103,510301772,29,479,41.53,D
3,104 = 109,510302066,28,470,38.06,D
3,104 = 109,510300012,28,470,38.06,D
3,104 = 109,510300191,28,470,38.06,D
3,104 = 109,510300999,28,470,38.06,D
3,104 = 109,510301049,28,470,38.06,D
3,104 = 109,510301004,28,470,38.06,D
3,110 = 113,510300979,27,461,34.75,D
3,110 = 113,510300867,27,461,34.75,D
3,110 = 113,510300044,27,461,34.75,D
3,110 = 113,510300344,27,461,34.75,D
3,114 = 123,510300597,26,452,31.6,D
3,114 = 123,510300329,26,452,31.6,D
3,114 = 123,510300170,26,452,31.6,D
3,114 = 123,510300247,26,452,31.6,D
3,114 = 123,510300269,26,452,31.6,D
3,114 = 123,510300887,26,452,31.6,D
3,114 = 123,510300681,26,452,31.6,D
3,114 = 123,510300682,26,452,31.6,D
3,114 = 123,510300667,26,452,31.6,D
3,114 = 123,510301503,26,452,31.6,D
3,124 = 127,510301199,25,444,28.5,D-
3,124 = 127,510300701,25,444,28.5,D-
3,124 = 127,510300601,25,444,28.5,D-
3,124 = 127,510300664,25,444,28.5,D-
3,128 = 130,510300300,24,434,25.43,D-
3,128 = 130,510300301,24,434,25.43,D-
3,128 = 130,510301149,24,434,25.43,D-
