Areacode,Placement,Registration,Firstscore,Convertedscore,Percentile,Letterindex
1,1,510100239,90,776,99.71,A
1,2,510100748,82,725,98.79,A-
1,3,510100729,80,717,98.48,A-
1,4,510100928,76,700,97.8,A-
1,5,510100946,73,690,97.15,B
1,6 = 7,510100543,72,686,96.85,B
1,6 = 7,510101190,72,686,96.85,B
1,8,510100957,68,671,95.59,B
1,9 = 10,510100636,65,660,94.5,B
1,9 = 10,510100170,65,660,94.5,B
1,11,510100889,63,653,93.75,B
1,12,510100184,61,646,92.82,B-
1,13,510100403,60,643,92.33,B-
1,14,510100254,58,635,91.17,B-
1,15 = 16,510100664,53,619,88.39,B-
1,15 = 16,510100687,53,619,88.39,B-
1,17 = 18,510100674,52,615,87.72,B-
1,17 = 18,510101395,52,615,87.72,B-
1,19 = 21,510101432,50,610,86.45,B-
1,19 = 21,510100694,50,610,86.45,B-
1,19 = 21,510100180,50,610,86.45,B-
1,22 = 24,510100819,49,606,85.64,B-
1,22 = 24,510101420,49,606,85.64,B-
1,22 = 24,510101247,49,606,85.64,B-
1,25 = 27,510100947,48,603,84.86,B-
1,25 = 27,510100248,48,603,84.86,B-
1,25 = 27,510100428,48,603,84.86,B-
1,28,510100976,47,600,84.07,B-
1,29 = 30,510101201,46,596,83.16,C
1,29 = 30,510101289,46,596,83.16,C
1,31 = 34,510101499,44,588,81.17,C
1,31 = 34,510101000,44,588,81.17,C
1,31 = 34,510100796,44,588,81.17,C
1,31 = 34,510100421,44,588,81.17,C
1,35 = 38,510100265,43,584,80.04,C
1,35 = 38,510100275,43,584,80.04,C
1,35 = 38,510100945,43,584,80.04,C
1,35 = 38,510101446,43,584,80.04,C
1,39 = 41,510101627,42,580,78.75,C
1,39 = 41,510100751,42,580,78.75,C
1,39 = 41,510100090,42,580,78.75,C
1,42 = 45,510100045,41,575,77.31,C
1,42 = 45,510100225,41,575,77.31,C
1,42 = 45,510100407,41,575,77.31,C
1,42 = 45,510100952,41,575,77.31,C
1,46,510101419,40,571,75.97,C
1,47 = 50,510101191,39,566,74.47,C
1,47 = 50,510100197,39,566,74.47,C
1,47 = 50,510100627,39,566,74.47,C
1,47 = 50,510100577,39,566,74.47,C
1,51 = 52,510101841,38,560,72.68,C
1,51 = 52,510102331,38,560,72.68,C
1,53 = 59,510101630,37,554,70.7,C
1,53 = 59,510101548,37,554,70.7,C
1,53 = 59,510101412,37,554,70.7,C
1,53 = 59,510100735,37,554,70.7,C
1,53 = 59,510100807,37,554,70.7,C
1,53 = 59,510100872,37,554,70.7,C
1,53 = 59,510100137,37,554,70.7,C
1,60 = 62,510100034,36,548,68.57,C-
1,60 = 62,510100569,36,548,68.57,C-
1,60 = 62,510100717,36,548,68.57,C-
1,63 = 64,510101109,35,543,66.55,C-
1,63 = 64,510101383,35,543,66.55,C-
1,65 = 73,510101250,34,536,64.24,C-
1,65 = 73,510101238,34,536,64.24,C-
1,65 = 73,510101837,34,536,64.24,C-
1,65 = 73,510101902,34,536,64.24,C-
1,65 = 73,513103596,34,536,64.24,C-
1,65 = 73,510100824,34,536,64.24,C-
1,65 = 73,510100551,34,536,64.24,C-
1,65 = 73,510100430,34,536,64.24,C-
1,65 = 73,510100360,34,536,64.24,C-
1,74 = 79,510100048,33,530,61.6,C-
1,74 = 79,510100052,33,530,61.6,C-
1,74 = 79,510100913,33,530,61.6,C-
1,74 = 79,510100848,33,530,61.6,C-
1,74 = 79,510100797,33,530,61.6,C-
1,74 = 79,510101321,33,530,61.6,C-
1,80 = 89,510101282,32,522,58.85,C-
1,80 = 89,510101463,32,522,58.85,C-
1,80 = 89,510101539,32,522,58.85,C-
1,80 = 89,510100921,32,522,58.85,C-
1,80 = 89,510100908,32,522,58.85,C-
1,80 = 89,510100836,32,522,58.85,C-
1,80 = 89,510100840,32,522,58.85,C-
1,80 = 89,510100814,32,522,58.85,C-
1,80 = 89,510100988,32,522,58.85,C-
1,80 = 89,510100221,32,522,58.85,C-
1,90 = 99,510100343,31,515,55.98,C-
1,90 = 99,510100278,31,515,55.98,C-
1,90 = 99,510100295,31,515,55.98,C-
1,90 = 99,510100855,31,515,55.98,C-
1,90 = 99,510100691,31,515,55.98,C-
1,90 = 99,510100646,31,515,55.98,C-
1,90 = 99,510100649,31,515,55.98,C-
1,90 = 99,510101453,31,515,55.98,C-
1,90 = 99,510101667,31,515,55.98,C-
1,90 = 99,510101249,31,515,55.98,C-
1,100 = 102,510102193,30,507,52.9,C-
1,100 = 102,510100651,30,507,52.9,C-
1,100 = 102,510100431,30,507,52.9,C-
1,103 = 107,510100401,29,499,49.61,D
1,103 = 107,510100809,29,499,49.61,D
1,103 = 107,510100829,29,499,49.61,D
1,103 = 107,510101237,29,499,49.61,D
1,103 = 107,510101171,29,499,49.61,D
1,108 = 116,510101203,28,491,46.28,D
1,108 = 116,510101357,28,491,46.28,D
1,108 = 116,510101032,28,491,46.28,D
1,108 = 116,510100733,28,491,46.28,D
1,108 = 116,510100762,28,491,46.28,D
1,108 = 116,510100607,28,491,46.28,D
1,108 = 116,510100572,28,491,46.28,D
1,108 = 116,510100087,28,491,46.28,D
1,108 = 116,510100151,28,491,46.28,D
1,117 = 124,510100596,27,482,42.88,D
1,117 = 124,510100637,27,482,42.88,D
1,117 = 124,510100638,27,482,42.88,D
1,117 = 124,510100699,27,482,42.88,D
1,117 = 124,510101155,27,482,42.88,D
1,117 = 124,510100868,27,482,42.88,D
1,117 = 124,510101845,27,482,42.88,D
1,117 = 124,510102529,27,482,42.88,D
1,125 = 138,510101602,26,473,39.25,D
1,125 = 138,510101611,26,473,39.25,D
1,125 = 138,510102164,26,473,39.25,D
1,125 = 138,510101932,26,473,39.25,D
1,125 = 138,510101310,26,473,39.25,D
1,125 = 138,510101451,26,473,39.25,D
1,125 = 138,510101172,26,473,39.25,D
1,125 = 138,510100890,26,473,39.25,D
1,125 = 138,510100843,26,473,39.25,D
1,125 = 138,510100812,26,473,39.25,D
1,125 = 138,510100157,26,473,39.25,D
1,125 = 138,510100161,26,473,39.25,D
1,125 = 138,510100011,26,473,39.25,D
1,125 = 138,510100271,26,473,39.25,D
1,139 = 147,510100303,25,463,35.61,D
1,139 = 147,510100293,25,463,35.61,D
1,139 = 147,510100427,25,463,35.61,D
1,139 = 147,510100398,25,463,35.61,D
1,139 = 147,510100068,25,463,35.61,D
1,139 = 147,510100741,25,463,35.61,D
1,139 = 147,510100623,25,463,35.61,D
1,139 = 147,510100650,25,463,35.61,D
1,139 = 147,510102462,25,463,35.61,D
1,148 = 155,510101264,24,454,32.26,D
1,148 = 155,510102500,24,454,32.26,D
1,148 = 155,510100949,24,454,32.26,D
1,148 = 155,510100982,24,454,32.26,D
1,148 = 155,510100091,24,454,32.26,D
1,148 = 155,510100057,24,454,32.26,D
1,148 = 155,510100123,24,454,32.26,D
1,148 = 155,510100366,24,454,32.26,D
1,156 = 169,510100335,23,444,28.83,D-
1,156 = 169,510100419,23,444,28.83,D-
1,156 = 169,510100139,23,444,28.83,D-
1,156 = 169,510100100,23,444,28.83,D-
1,156 = 169,510100120,23,444,28.83,D-
1,156 = 169,510100159,23,444,28.83,D-
1,156 = 169,510100089,23,444,28.83,D-
1,156 = 169,510100798,23,444,28.83,D-
1,156 = 169,510101304,23,444,28.83,D-
1,156 = 169,510101263,23,444,28.83,D-
1,156 = 169,510102378,23,444,28.83,D-
1,156 = 169,510101850,23,444,28.83,D-
1,156 = 169,510101508,23,444,28.83,D-
1,156 = 169,510101510,23,444,28.83,D-
1,170 = 177,510102017,22,433,25.27,D-
1,170 = 177,510101254,22,433,25.27,D-
1,170 = 177,510101431,22,433,25.27,D-
1,170 = 177,510100670,22,433,25.27,D-
1,170 = 177,510100677,22,433,25.27,D-
1,170 = 177,510100040,22,433,25.27,D-
1,170 = 177,510100018,22,433,25.27,D-
1,170 = 177,510100374,22,433,25.27,D-
1,178 = 187,510100358,21,422,21.72,D-
1,178 = 187,510100424,21,422,21.72,D-
1,178 = 187,510100217,21,422,21.72,D-
1,178 = 187,510100009,21,422,21.72,D-
1,178 = 187,510100066,21,422,21.72,D-
1,178 = 187,510100067,21,422,21.72,D-
1,178 = 187,510100991,21,422,21.72,D-
1,178 = 187,510100923,21,422,21.72,D-
