Areacode,Placement,Registration,Firstscore,Convertedscore,Percentile,Letterindex
1,1,510100837,92,782,99.76,A
1,2,510100928,88,743,99.25,A-
1,3,510100876,86,727,98.84,A-
1,4 = 5,510102052,83,704,97.99,A-
1,4 = 5,510100701,83,704,97.99,A-
1,6 = 8,510100724,81,692,97.25,B
1,6 = 8,510100035,81,692,97.25,B
1,6 = 8,510100177,81,692,97.25,B
1,9 = 10,510100294,80,686,96.82,B
1,9 = 10,510101212,80,686,96.82,B
1,11 = 12,510101730,79,680,96.39,B
1,11 = 12,510100831,79,680,96.39,B
1,13,510100072,77,669,95.45,B
1,14,510100707,73,650,93.29,B
1,15,510100871,72,646,92.73,B-
1,16,510100499,71,642,92.15,B-
1,17,510100028,69,634,90.97,B-
1,18 = 19,510101545,68,630,90.37,B-
1,18 = 19,510101551,68,630,90.37,B-
1,20 = 23,510101999,67,627,89.73,B-
1,20 = 23,510100179,67,627,89.73,B-
1,20 = 23,510100222,67,627,89.73,B-
1,20 = 23,510100253,67,627,89.73,B-
1,24 = 25,510100548,66,623,88.99,B-
1,24 = 25,510100719,66,623,88.99,B-
1,26,510100734,65,619,88.27,B-
1,27,510100925,64,615,87.6,B-
1,28 = 29,510101478,63,612,86.97,B-
1,28 = 29,510100726,63,612,86.97,B-
1,30 = 33,510100180,62,609,86.31,B-
1,30 = 33,510100911,62,609,86.31,B-
1,30 = 33,510100897,62,609,86.31,B-
1,30 = 33,510100947,62,609,86.31,B-
1,34,510100711,61,607,85.66,B-
1,35,510101009,60,604,85.09,B-
1,36 = 37,510100728,59,601,84.49,B-
1,36 = 37,510100257,59,601,84.49,B-
1,38 = 39,510100281,58,599,83.87,C
1,38 = 39,510100239,58,599,83.87,C
1,40 = 43,510100751,57,596,83.27,C
1,40 = 43,510101306,57,596,83.27,C
1,40 = 43,510102042,57,596,83.27,C
1,40 = 43,510102329,57,596,83.27,C
1,44 = 46,510101207,56,594,82.67,C
1,44 = 46,510100694,56,594,82.67,C
1,44 = 46,510100205,56,594,82.67,C
1,47,510100889,55,592,82.04,C
1,48 = 50,510100905,54,589,81.36,C
1,48 = 50,510100149,54,589,81.36,C
1,48 = 50,510100735,54,589,81.36,C
1,51,510100852,53,587,80.68,C
1,52,510100872,51,582,79.32,C
1,53 = 55,510100893,49,577,77.89,C
1,53 = 55,510100729,49,577,77.89,C
1,53 = 55,510100332,49,577,77.89,C
1,56,510101389,48,574,77.14,C
1,57 = 60,510102008,45,567,74.91,C
1,57 = 60,510101861,45,567,74.91,C
1,57 = 60,510100989,45,567,74.91,C
1,57 = 60,510100589,45,567,74.91,C
1,61 = 63,510100720,44,565,74.07,C
1,61 = 63,510100805,44,565,74.07,C
1,61 = 63,510100026,44,565,74.07,C
1,64 = 68,510100390,43,562,73.23,C
1,64 = 68,510100291,43,562,73.23,C
1,64 = 68,510100806,43,562,73.23,C
1,64 = 68,510100904,43,562,73.23,C
1,64 = 68,510101895,43,562,73.23,C
1,69 = 74,510101532,42,559,72.33,C
1,69 = 74,510100931,42,559,72.33,C
1,69 = 74,510100802,42,559,72.33,C
1,69 = 74,510100700,42,559,72.33,C
1,69 = 74,510100730,42,559,72.33,C
1,69 = 74,510100331,42,559,72.33,C
1,75 = 78,510100723,41,556,71.39,C
1,75 = 78,510100716,41,556,71.39,C
1,75 = 78,510100825,41,556,71.39,C
1,75 = 78,510101506,41,556,71.39,C
1,79 = 84,510101428,40,553,70.34,C
1,79 = 84,510100816,40,553,70.34,C
1,79 = 84,510100792,40,553,70.34,C
1,79 = 84,510100699,40,553,70.34,C
1,79 = 84,510100292,40,553,70.34,C
1,79 = 84,510100189,40,553,70.34,C
1,85 = 88,510100091,39,550,69.24,C
1,85 = 88,510100403,39,550,69.24,C
