Areacode,Placement,Registration,Firstscore,Convertedscore,Percentile,Letterindex
1,1,510102329,90,688,97.02,B
1,2,510100170,89,680,96.41,B
1,3,510100533,78,609,86.25,B-
1,4,510100341,77,604,85.13,B-
1,5,510101556,73,582,79.48,C
1,6,510101668,72,577,78.01,C
1,7,510100459,70,569,75.4,C
1,8,510100666,69,566,74.4,C
1,9,510100938,59,521,58.37,C-
1,10,510100882,52,481,42.38,D
1,11,510100125,50,472,38.77,D
1,12,510101049,47,453,31.98,D
1,13 = 14,510100354,46,448,30.11,D-
1,13 = 14,510101152,46,448,30.11,D-
1,15,510102274,45,441,27.91,D-
1,16,510101454,25,316,3.26,F
1,17,510101147,24,311,2.91,F
1,18,510101497,23,307,2.67,F
2,1,510200568,90,688,97.02,B
2,2,510200640,68,561,72.97,C
2,3,510200828,65,548,68.35,C-
2,4,510200218,54,495,47.91,D
2,5,510201024,53,487,44.82,D
2,6 = 7,510201072,49,467,36.88,D
2,6 = 7,510201283,49,467,36.88,D
2,8,510200768,45,441,27.91,D-
2,9 = 10,510200529,44,434,25.43,D-
2,9 = 10,510201037,44,434,25.43,D-
2,11,510201057,43,428,23.45,D-
2,12,510200098,41,415,19.82,D-
2,13,510200870,40,411,18.74,D-
2,14,510201066,39,406,17.36,D-
2,15,510201186,38,398,15.47,F
2,16,510201022,36,385,12.23,F
2,17 = 18,510200842,35,377,10.89,F
2,17 = 18,513105906,35,377,10.89,F
2,19,510201209,33,367,9.16,F
2,20,510200479,31,353,7.08,F
2,21,510201345,30,344,5.89,F
2,22 = 23,510201457,28,335,4.94,F
2,22 = 23,510200051,28,335,4.94,F
2,24 = 25,510200476,27,329,4.33,F
2,24 = 25,510201508,27,329,4.33,F
2,26,510200477,25,316,3.26,F
2,27 = 28,510200388,23,307,2.67,F
2,27 = 28,510201278,23,307,2.67,F
2,29,510200165,22,298,2.19,F
2,30,510201344,20,284,1.54,F
2,31,510201653,11,231,0.36,F
2,32,510201756,9,221,0.26,F
2,33,510200877,7,207,0.17,F
3,1,510300168,86,661,94.67,B
3,2,510301125,74,587,80.83,C
3,3,510301038,71,572,76.48,C
3,4,510300330,56,506,52.51,C-
3,5,510301501,54,495,47.91,D
3,6,510300813,52,481,42.38,D
3,7,510301039,51,475,40.26,D
3,8,510300196,46,448,30.11,D-
3,9,510301489,45,441,27.91,D-
3,10,510300171,43,428,23.45,D-
3,11,510300380,39,406,17.36,D-
3,12,510301856,38,398,15.47,F
3,13,510300372,37,391,13.72,F
3,14,510300556,31,353,7.08,F
4,1,510401306,84,647,92.93,B-
4,2,510401035,83,638,91.64,B-
4,3 = 4,510400015,81,628,89.92,B-
