Areacode,Placement,Registration,Firstscore,Convertedscore,Percentile,Letterindex
1,1,510101999,91,752,99.41,A
1,2,510100215,83,702,97.86,A-
1,3,510101419,74,654,93.81,B
1,4,510100907,65,617,87.89,B-
1,5,510100001,57,585,80.35,C
1,6,510102061,53,570,75.93,C
1,7,510101220,49,550,69.05,C
1,8,510102524,47,537,64.42,C-
1,9,510100249,46,532,62.58,C-
1,10,510101289,44,522,58.86,C-
1,11,510100125,41,502,50.99,C-
1,12,510101397,40,495,47.97,D
1,13,510100709,38,480,41.9,D
1,14,510102140,32,431,24.42,D-
1,15,510100979,29,408,17.99,D-
1,16,510101553,25,374,10.37,F
2,1,510200221,81,689,97.05,B
2,2,510201206,71,639,91.83,B-
2,3,510200067,70,635,91.13,B-
2,4,510200470,69,632,90.65,B-
2,5,510200383,66,621,88.77,B-
2,6 = 8,510200664,61,601,84.47,B-
2,6 = 8,510200669,61,601,84.47,B-
2,6 = 8,510200259,61,601,84.47,B-
2,9,510200660,59,593,82.33,C
2,10,510200254,44,522,58.86,C-
2,11,510201141,43,516,56.25,C-
2,12 = 14,510200986,38,480,41.9,D
2,12 = 14,511700217,38,480,41.9,D
2,12 = 14,510200659,38,480,41.9,D
2,15,510200765,34,449,30.64,D-
2,16 = 17,510200658,33,440,27.29,D-
2,16 = 17,510201403,33,440,27.29,D-
2,18,510200663,32,431,24.42,D-
2,19,510200908,28,401,16.15,D-
2,20,510200842,26,385,12.28,F
2,21 = 23,510200844,25,374,10.37,F
2,21 = 23,510200841,25,374,10.37,F
2,21 = 23,510200071,25,374,10.37,F
2,24 = 25,510201169,23,353,7.02,F
2,24 = 25,510201293,23,353,7.02,F
2,26,510201791,22,343,5.77,F
2,27,510200884,20,317,3.38,F
3,1,510300870,72,645,92.67,B-
3,2,510301120,66,621,88.77,B-
3,3,510301166,63,609,86.2,B-
3,4,510300234,62,605,85.39,B-
3,5,510300874,53,570,75.93,C
3,6,510300159,43,516,56.25,C-
3,7 = 8,510300657,34,449,30.64,D-
3,7 = 8,510302019,34,449,30.64,D-
3,9,510300187,32,431,24.42,D-
4,1,510400299,81,689,97.05,B
4,2,510400045,76,666,95.14,B
4,3,510400271,75,659,94.44,B
4,4,510400124,68,630,90.25,B-
4,5,510401182,64,612,87.12,B-
4,6 = 7,510400383,48,543,66.74,C-
4,6 = 7,510400173,48,543,66.74,C-
4,8 = 10,510400077,42,509,53.56,C-
4,8 = 10,510400087,42,509,53.56,C-
4,8 = 10,510400644,42,509,53.56,C-
4,11,510400075,40,495,47.97,D
4,12 = 13,510400167,39,487,44.84,D
4,12 = 13,510401126,39,487,44.84,D
4,14,510400110,25,374,10.37,F
4,15,510400549,23,353,7.02,F
