Areacode,Placement,Registration,Firstscore,Convertedscore,Percentile,Letterindex
1,1 = 2,510100701,84,797,99.85,A
1,1 = 2,510101306,84,797,99.85,A
1,3,510100409,83,792,99.82,A
1,4 = 6,510100149,79,778,99.73,A
1,4 = 6,510100315,79,778,99.73,A
1,4 = 6,510101483,79,778,99.73,A
1,7,510102035,78,775,99.7,A
1,8,510101212,76,769,99.64,A
1,9,510101999,75,765,99.6,A
1,10,510100026,72,756,99.47,A
1,11,510100177,67,742,99.22,A-
1,12,510100257,64,734,99.05,A-
1,13 = 14,510100224,62,729,98.91,A-
1,13 = 14,510100764,62,729,98.91,A-
1,15,510100731,59,720,98.62,A-
1,16,510100719,56,712,98.29,A-
1,17,510100179,55,708,98.12,A-
1,18 = 19,510100254,53,700,97.8,A-
1,18 = 19,510100294,53,700,97.8,A-
1,20,510102052,51,696,97.5,B
1,21,510100704,50,693,97.33,B
1,22 = 24,510100225,49,691,97.18,B
1,22 = 24,510100325,49,691,97.18,B
1,22 = 24,510100206,49,691,97.18,B
1,25,510100399,48,689,97.03,B
1,26 = 27,510100402,47,686,96.84,B
1,26 = 27,510100714,47,686,96.84,B
1,28,510100712,46,683,96.64,B
1,29 = 30,510100726,45,681,96.45,B
1,29 = 30,510100734,45,681,96.45,B
1,31,510100545,44,678,96.21,B
1,32 = 36,510100533,43,674,95.92,B
1,32 = 36,510100725,43,674,95.92,B
1,32 = 36,510100705,43,674,95.92,B
1,32 = 36,510100376,43,674,95.92,B
1,32 = 36,510100838,43,674,95.92,B
1,37 = 41,510100806,42,671,95.62,B
1,37 = 41,510100180,42,671,95.62,B
1,37 = 41,510100184,42,671,95.62,B
1,37 = 41,510100716,42,671,95.62,B
1,37 = 41,510100454,42,671,95.62,B
1,42 = 43,510100713,41,667,95.27,B
1,42 = 43,510101133,41,667,95.27,B
1,44 = 48,510100871,39,660,94.53,B
1,44 = 48,510101532,39,660,94.53,B
1,44 = 48,510101419,39,660,94.53,B
1,44 = 48,510100707,39,660,94.53,B
1,44 = 48,510101841,39,660,94.53,B
1,49 = 50,510101843,38,657,94.12,B
1,49 = 50,510100367,38,657,94.12,B
1,51 = 53,510101002,37,653,93.65,B
1,51 = 53,510101765,37,653,93.65,B
1,51 = 53,510102054,37,653,93.65,B
1,54 = 57,510101003,36,648,93.12,B-
1,54 = 57,510101428,36,648,93.12,B-
1,54 = 57,510100025,36,648,93.12,B-
1,54 = 57,510100527,36,648,93.12,B-
1,58 = 60,510100631,35,644,92.56,B-
1,58 = 60,510101232,35,644,92.56,B-
1,58 = 60,510101198,35,644,92.56,B-
1,61 = 65,510101416,34,640,91.92,B-
1,61 = 65,510100981,34,640,91.92,B-
1,61 = 65,510100715,34,640,91.92,B-
1,61 = 65,510100720,34,640,91.92,B-
1,61 = 65,510100250,34,640,91.92,B-
1,66 = 69,510100205,33,636,91.25,B-
1,66 = 69,510100538,33,636,91.25,B-
1,66 = 69,510100892,33,636,91.25,B-
1,66 = 69,510100900,33,636,91.25,B-
1,70 = 74,510100842,32,631,90.5,B-
1,70 = 74,510101013,32,631,90.5,B-
1,70 = 74,510100711,32,631,90.5,B-
1,70 = 74,510100363,32,631,90.5,B-
1,70 = 74,510102458,32,631,90.5,B-
1,75 = 78,510100317,31,626,89.58,B-
1,75 = 78,510100059,31,626,89.58,B-
1,75 = 78,510100548,31,626,89.58,B-
1,75 = 78,510100863,31,626,89.58,B-
1,79 = 86,510101044,30,620,88.42,B-
1,79 = 86,510101446,30,620,88.42,B-
1,79 = 86,510101545,30,620,88.42,B-
1,79 = 86,510100410,30,620,88.42,B-
1,79 = 86,510100623,30,620,88.42,B-
1,79 = 86,510100358,30,620,88.42,B-
1,79 = 86,510100231,30,620,88.42,B-
1,79 = 86,510102520,30,620,88.42,B-
1,87 = 92,510101805,29,612,87.08,B-
1,87 = 92,510100305,29,612,87.08,B-
1,87 = 92,510100078,29,612,87.08,B-
1,87 = 92,510100748,29,612,87.08,B-
1,87 = 92,510101400,29,612,87.08,B-
1,87 = 92,510101039,29,612,87.08,B-
1,93 = 102,510100909,28,606,85.56,B-
1,93 = 102,510100845,28,606,85.56,B-
1,93 = 102,510101530,28,606,85.56,B-
1,93 = 102,510101203,28,606,85.56,B-
1,93 = 102,510100739,28,606,85.56,B-
1,93 = 102,510100668,28,606,85.56,B-
1,93 = 102,510100137,28,606,85.56,B-
1,93 = 102,510100144,28,606,85.56,B-
1,93 = 102,510101855,28,606,85.56,B-
1,93 = 102,510101861,28,606,85.56,B-
1,103 = 112,510100251,27,599,83.81,C
1,103 = 112,510100327,27,599,83.81,C
1,103 = 112,510100664,27,599,83.81,C
1,103 = 112,510100543,27,599,83.81,C
1,103 = 112,510100532,27,599,83.81,C
1,103 = 112,510100480,27,599,83.81,C
1,103 = 112,510101299,27,599,83.81,C
1,103 = 112,510101255,27,599,83.81,C
1,103 = 112,510101420,27,599,83.81,C
1,103 = 112,510100989,27,599,83.81,C
1,113 = 134,510101051,26,591,81.76,C
1,113 = 134,510101108,26,591,81.76,C
1,113 = 134,510100959,26,591,81.76,C
1,113 = 134,510100970,26,591,81.76,C
1,113 = 134,510100933,26,591,81.76,C
1,113 = 134,510100950,26,591,81.76,C
1,113 = 134,510100783,26,591,81.76,C
1,113 = 134,510100797,26,591,81.76,C
1,113 = 134,510100891,26,591,81.76,C
1,113 = 134,510100865,26,591,81.76,C
1,113 = 134,510101557,26,591,81.76,C
1,113 = 134,510101633,26,591,81.76,C
1,113 = 134,510101202,26,591,81.76,C
1,113 = 134,510100389,26,591,81.76,C
1,113 = 134,510100337,26,591,81.76,C
1,113 = 134,510100346,26,591,81.76,C
1,113 = 134,510100218,26,591,81.76,C
1,113 = 134,510100300,26,591,81.76,C
1,113 = 134,510100302,26,591,81.76,C
1,113 = 134,510100083,26,591,81.76,C
1,113 = 134,510102042,26,591,81.76,C
1,113 = 134,510101679,26,591,81.76,C
1,135 = 149,510100008,25,582,79.43,C
1,135 = 149,510100311,25,582,79.43,C
1,135 = 149,510100448,25,582,79.43,C
1,135 = 149,510100446,25,582,79.43,C
1,135 = 149,510100577,25,582,79.43,C
1,135 = 149,510100710,25,582,79.43,C
1,135 = 149,510101166,25,582,79.43,C
1,135 = 149,510101196,25,582,79.43,C
1,135 = 149,510101228,25,582,79.43,C
1,135 = 149,510101211,25,582,79.43,C
1,135 = 149,510101329,25,582,79.43,C
1,135 = 149,510100870,25,582,79.43,C
1,135 = 149,510100987,25,582,79.43,C
1,135 = 149,510101141,25,582,79.43,C
1,135 = 149,510101014,25,582,79.43,C
1,150 = 163,510100966,24,573,76.82,C
1,150 = 163,510100940,24,573,76.82,C
1,150 = 163,510100879,24,573,76.82,C
1,150 = 163,510100883,24,573,76.82,C
1,150 = 163,510100805,24,573,76.82,C
1,150 = 163,510101331,24,573,76.82,C
1,150 = 163,510101267,24,573,76.82,C
1,150 = 163,510101426,24,573,76.82,C
1,150 = 163,510100755,24,573,76.82,C
1,150 = 163,510100700,24,573,76.82,C
1,150 = 163,510100222,24,573,76.82,C
1,150 = 163,510100079,24,573,76.82,C
1,150 = 163,510100208,24,573,76.82,C
1,150 = 163,510102172,24,573,76.82,C
1,164 = 184,510101796,23,564,73.76,C
1,164 = 184,510102131,23,564,73.76,C
1,164 = 184,510100309,23,564,73.76,C
1,164 = 184,510100275,23,564,73.76,C
1,164 = 184,510100368,23,564,73.76,C
1,164 = 184,510100681,23,564,73.76,C
1,164 = 184,510100667,23,564,73.76,C
1,164 = 184,510100556,23,564,73.76,C
1,164 = 184,510100435,23,564,73.76,C
1,164 = 184,510100450,23,564,73.76,C
1,164 = 184,510100424,23,564,73.76,C
1,164 = 184,510101371,23,564,73.76,C
1,164 = 184,510101248,23,564,73.76,C
1,164 = 184,510101208,23,564,73.76,C
1,164 = 184,510100828,23,564,73.76,C
1,164 = 184,510100942,23,564,73.76,C
1,164 = 184,510100936,23,564,73.76,C
1,164 = 184,510100979,23,564,73.76,C
1,164 = 184,510101009,23,564,73.76,C
1,164 = 184,510101047,23,564,73.76,C
1,164 = 184,510101037,23,564,73.76,C
1,185 = 213,510101027,22,553,70.21,C
1,185 = 213,510100995,22,553,70.21,C
1,185 = 213,510100986,22,553,70.21,C
1,185 = 213,510100931,22,553,70.21,C
1,185 = 213,510100825,22,553,70.21,C
1,185 = 213,510100837,22,553,70.21,C
1,185 = 213,510100777,22,553,70.21,C
1,185 = 213,510101190,22,553,70.21,C
1,185 = 213,510101165,22,553,70.21,C
1,185 = 213,510101375,22,553,70.21,C
1,185 = 213,510101417,22,553,70.21,C
1,185 = 213,510101435,22,553,70.21,C
1,185 = 213,510101442,22,553,70.21,C
1,185 = 213,510101556,22,553,70.21,C
1,185 = 213,510101667,22,553,70.21,C
1,185 = 213,510101463,22,553,70.21,C
1,185 = 213,510100425,22,553,70.21,C
1,185 = 213,510100440,22,553,70.21,C
1,185 = 213,510100765,22,553,70.21,C
1,185 = 213,510100733,22,553,70.21,C
1,185 = 213,510100352,22,553,70.21,C
1,185 = 213,510100280,22,553,70.21,C
1,185 = 213,510100306,22,553,70.21,C
1,185 = 213,510100226,22,553,70.21,C
1,185 = 213,510100042,22,553,70.21,C
1,185 = 213,510102027,22,553,70.21,C
1,185 = 213,510101895,22,553,70.21,C
1,185 = 213,510101630,22,553,70.21,C
1,185 = 213,510102493,22,553,70.21,C
1,214 = 245,510101692,21,542,66.13,C-
1,214 = 245,510101722,21,542,66.13,C-
1,214 = 245,510101811,21,542,66.13,C-
1,214 = 245,510101772,21,542,66.13,C-
1,214 = 245,510101738,21,542,66.13,C-
1,214 = 245,510101894,21,542,66.13,C-
1,214 = 245,510100084,21,542,66.13,C-
1,214 = 245,510100169,21,542,66.13,C-
1,214 = 245,510100143,21,542,66.13,C-
1,214 = 245,510100299,21,542,66.13,C-
1,214 = 245,510100350,21,542,66.13,C-
1,214 = 245,510100351,21,542,66.13,C-
1,214 = 245,510100379,21,542,66.13,C-
1,214 = 245,510100340,21,542,66.13,C-
1,214 = 245,510100342,21,542,66.13,C-
1,214 = 245,510100735,21,542,66.13,C-
1,214 = 245,510100738,21,542,66.13,C-
1,214 = 245,510100562,21,542,66.13,C-
1,214 = 245,510100390,21,542,66.13,C-
1,214 = 245,510101475,21,542,66.13,C-
1,214 = 245,510101422,21,542,66.13,C-
1,214 = 245,510101403,21,542,66.13,C-
1,214 = 245,510101373,21,542,66.13,C-
1,214 = 245,510101171,21,542,66.13,C-
1,214 = 245,510101230,21,542,66.13,C-
1,214 = 245,510101289,21,542,66.13,C-
1,214 = 245,510101348,21,542,66.13,C-
1,214 = 245,510100847,21,542,66.13,C-
1,214 = 245,510100857,21,542,66.13,C-
1,214 = 245,510100911,21,542,66.13,C-
1,214 = 245,510100913,21,542,66.13,C-
1,214 = 245,510100976,21,542,66.13,C-
1,246 = 282,510100965,20,530,61.63,C-
1,246 = 282,510100960,20,530,61.63,C-
1,246 = 282,510100938,20,530,61.63,C-
1,246 = 282,510101147,20,530,61.63,C-
1,246 = 282,510100905,20,530,61.63,C-
1,246 = 282,510100860,20,530,61.63,C-
1,246 = 282,510100869,20,530,61.63,C-
1,246 = 282,510100839,20,530,61.63,C-
1,246 = 282,510100836,20,530,61.63,C-
1,246 = 282,510100786,20,530,61.63,C-
1,246 = 282,510100792,20,530,61.63,C-
1,246 = 282,510100807,20,530,61.63,C-
1,246 = 282,510100811,20,530,61.63,C-
1,246 = 282,510100818,20,530,61.63,C-
1,246 = 282,510101302,20,530,61.63,C-
1,246 = 282,510101388,20,530,61.63,C-
1,246 = 282,510101568,20,530,61.63,C-
1,246 = 282,510100461,20,530,61.63,C-
1,246 = 282,510100455,20,530,61.63,C-
1,246 = 282,510100459,20,530,61.63,C-
1,246 = 282,510100436,20,530,61.63,C-
1,246 = 282,510100557,20,530,61.63,C-
1,246 = 282,510100709,20,530,61.63,C-
1,246 = 282,510100673,20,530,61.63,C-
1,246 = 282,510100661,20,530,61.63,C-
1,246 = 282,510100642,20,530,61.63,C-
1,246 = 282,510100364,20,530,61.63,C-
1,246 = 282,510100345,20,530,61.63,C-
1,246 = 282,510100220,20,530,61.63,C-
1,246 = 282,510100261,20,530,61.63,C-
1,246 = 282,510100136,20,530,61.63,C-
1,246 = 282,510100103,20,530,61.63,C-
1,246 = 282,510100061,20,530,61.63,C-
1,246 = 282,510100038,20,530,61.63,C-
1,246 = 282,510101943,20,530,61.63,C-
1,246 = 282,510101991,20,530,61.63,C-
1,246 = 282,510102148,20,530,61.63,C-
1,283 = 313,510101902,19,517,56.63,C-
1,283 = 313,510101779,19,517,56.63,C-
1,283 = 313,510102514,19,517,56.63,C-
1,283 = 313,510102535,19,517,56.63,C-
1,283 = 313,510102370,19,517,56.63,C-
1,283 = 313,510100041,19,517,56.63,C-
1,283 = 313,510100117,19,517,56.63,C-
1,283 = 313,510100051,19,517,56.63,C-
1,283 = 313,510100135,19,517,56.63,C-
1,283 = 313,510100142,19,517,56.63,C-
1,283 = 313,510100248,19,517,56.63,C-
1,283 = 313,510100277,19,517,56.63,C-
1,283 = 313,510100675,19,517,56.63,C-
1,283 = 313,510100672,19,517,56.63,C-
1,283 = 313,510100585,19,517,56.63,C-
1,283 = 313,510100487,19,517,56.63,C-
1,283 = 313,510100421,19,517,56.63,C-
1,283 = 313,510101524,19,517,56.63,C-
1,283 = 313,510101577,19,517,56.63,C-
1,283 = 313,510101412,19,517,56.63,C-
1,283 = 313,510101438,19,517,56.63,C-
1,283 = 313,510101453,19,517,56.63,C-
1,283 = 313,510101454,19,517,56.63,C-
1,283 = 313,510101312,19,517,56.63,C-
1,283 = 313,510101251,19,517,56.63,C-
1,283 = 313,510101226,19,517,56.63,C-
1,283 = 313,510101227,19,517,56.63,C-
1,283 = 313,510101209,19,517,56.63,C-
1,283 = 313,510101207,19,517,56.63,C-
1,283 = 313,510100906,19,517,56.63,C-
1,283 = 313,510100982,19,517,56.63,C-
1,314 = 349,510100973,18,503,51.22,C-
1,314 = 349,510100898,18,503,51.22,C-
1,314 = 349,510101143,18,503,51.22,C-
1,314 = 349,510100901,18,503,51.22,C-
1,314 = 349,510100895,18,503,51.22,C-
1,314 = 349,510100855,18,503,51.22,C-
1,314 = 349,510100874,18,503,51.22,C-
1,314 = 349,510101174,18,503,51.22,C-
1,314 = 349,510101168,18,503,51.22,C-
1,314 = 349,510101353,18,503,51.22,C-
1,314 = 349,510101443,18,503,51.22,C-
1,314 = 349,510101653,18,503,51.22,C-
1,314 = 349,510101496,18,503,51.22,C-
1,314 = 349,510100397,18,503,51.22,C-
1,314 = 349,510100405,18,503,51.22,C-
1,314 = 349,510100470,18,503,51.22,C-
1,314 = 349,510100546,18,503,51.22,C-
1,314 = 349,510100559,18,503,51.22,C-
1,314 = 349,510100584,18,503,51.22,C-
1,314 = 349,510100688,18,503,51.22,C-
1,314 = 349,510100651,18,503,51.22,C-
1,314 = 349,510100653,18,503,51.22,C-
1,314 = 349,510100655,18,503,51.22,C-
1,314 = 349,510100703,18,503,51.22,C-
1,314 = 349,510100253,18,503,51.22,C-
1,314 = 349,510100341,18,503,51.22,C-
1,314 = 349,510100168,18,503,51.22,C-
1,314 = 349,510100194,18,503,51.22,C-
1,314 = 349,510100207,18,503,51.22,C-
1,314 = 349,510100189,18,503,51.22,C-
1,314 = 349,510100067,18,503,51.22,C-
1,314 = 349,510100070,18,503,51.22,C-
1,314 = 349,510100032,18,503,51.22,C-
1,314 = 349,510101721,18,503,51.22,C-
1,314 = 349,510101690,18,503,51.22,C-
1,314 = 349,510101706,18,503,51.22,C-
1,350 = 396,510101693,17,489,45.62,D
1,350 = 396,510101762,17,489,45.62,D
1,350 = 396,510101935,17,489,45.62,D
1,350 = 396,510101866,17,489,45.62,D
1,350 = 396,510101857,17,489,45.62,D
1,350 = 396,510102118,17,489,45.62,D
1,350 = 396,510102333,17,489,45.62,D
1,350 = 396,510102457,17,489,45.62,D
1,350 = 396,510102500,17,489,45.62,D
1,350 = 396,510100011,17,489,45.62,D
1,350 = 396,510100150,17,489,45.62,D
1,350 = 396,510100147,17,489,45.62,D
1,350 = 396,510100131,17,489,45.62,D
1,350 = 396,510100338,17,489,45.62,D
1,350 = 396,510100332,17,489,45.62,D
1,350 = 396,510100314,17,489,45.62,D
1,350 = 396,510100279,17,489,45.62,D
1,350 = 396,510100272,17,489,45.62,D
1,350 = 396,510100312,17,489,45.62,D
1,350 = 396,510100721,17,489,45.62,D
1,350 = 396,510100674,17,489,45.62,D
1,350 = 396,510100659,17,489,45.62,D
1,350 = 396,510100586,17,489,45.62,D
1,350 = 396,510100473,17,489,45.62,D
1,350 = 396,510100430,17,489,45.62,D
1,350 = 396,510100438,17,489,45.62,D
1,350 = 396,510101478,17,489,45.62,D
1,350 = 396,510101459,17,489,45.62,D
1,350 = 396,510101424,17,489,45.62,D
1,350 = 396,510101421,17,489,45.62,D
1,350 = 396,510101389,17,489,45.62,D
1,350 = 396,510101343,17,489,45.62,D
1,350 = 396,510101359,17,489,45.62,D
1,350 = 396,510101283,17,489,45.62,D
1,350 = 396,510101205,17,489,45.62,D
1,350 = 396,510101156,17,489,45.62,D
1,350 = 396,510101220,17,489,45.62,D
1,350 = 396,510101221,17,489,45.62,D
1,350 = 396,510101223,17,489,45.62,D
1,350 = 396,510101242,17,489,45.62,D
1,350 = 396,510100888,17,489,45.62,D
1,350 = 396,510100889,17,489,45.62,D
1,350 = 396,510100903,17,489,45.62,D
1,350 = 396,510100851,17,489,45.62,D
1,350 = 396,510100968,17,489,45.62,D
1,350 = 396,510100962,17,489,45.62,D
1,350 = 396,510100984,17,489,45.62,D
1,397 = 441,510100988,16,474,39.83,D
1,397 = 441,510100954,16,474,39.83,D
1,397 = 441,510100949,16,474,39.83,D
1,397 = 441,510101109,16,474,39.83,D
1,397 = 441,510100998,16,474,39.83,D
1,397 = 441,510101035,16,474,39.83,D
1,397 = 441,510100829,16,474,39.83,D
1,397 = 441,510100743,16,474,39.83,D
1,397 = 441,510100800,16,474,39.83,D
1,397 = 441,510100897,16,474,39.83,D
1,397 = 441,510101217,16,474,39.83,D
1,397 = 441,510101157,16,474,39.83,D
1,397 = 441,510101264,16,474,39.83,D
1,397 = 441,510101291,16,474,39.83,D
1,397 = 441,510101376,16,474,39.83,D
1,397 = 441,510101407,16,474,39.83,D
1,397 = 441,510101433,16,474,39.83,D
1,397 = 441,510101441,16,474,39.83,D
1,397 = 441,510101501,16,474,39.83,D
1,397 = 441,510101505,16,474,39.83,D
1,397 = 441,510100392,16,474,39.83,D
1,397 = 441,510100416,16,474,39.83,D
1,397 = 441,510100499,16,474,39.83,D
1,397 = 441,510100537,16,474,39.83,D
1,397 = 441,510100540,16,474,39.83,D
