Areacode,Placement,Registration,Firstscore,Convertedscore,Percentile,Letterindex
1,1 = 3,510100213,81,800,99.91,A
1,1 = 3,510100261,81,800,99.91,A
1,1 = 3,510101432,80,800,99.87,A
1,4,510100624,79,788,99.8,A
1,5,510101443,75,750,99.4,A
1,6 = 7,510101435,74,741,99.21,A-
1,6 = 7,510100978,74,741,99.21,A-
1,8,510102061,73,733,99.02,A-
1,9,510101371,72,727,98.83,A-
1,10 = 11,510100607,71,720,98.6,A-
1,10 = 11,510100367,71,720,98.6,A-
1,12 = 16,510100398,70,712,98.28,A-
1,12 = 16,510100331,70,712,98.28,A-
1,12 = 16,510101133,70,712,98.28,A-
1,12 = 16,510101141,70,712,98.28,A-
1,12 = 16,510101888,70,712,98.28,A-
1,17,510101379,69,704,97.93,A-
1,18 = 20,510101457,68,697,97.53,B
1,18 = 20,510100207,68,697,97.53,B
1,18 = 20,510100001,68,697,97.53,B
1,21 = 22,510102331,66,683,96.61,B
1,21 = 22,510102374,66,683,96.61,B
1,23 = 29,510101428,65,675,95.99,B
1,23 = 29,510101329,65,675,95.99,B
1,23 = 29,510101506,65,675,95.99,B
1,23 = 29,510100291,65,675,95.99,B
1,23 = 29,510100563,65,675,95.99,B
1,23 = 29,510100992,65,675,95.99,B
1,23 = 29,510100708,65,675,95.99,B
1,30 = 37,510100905,64,667,95.29,B
1,30 = 37,510100975,64,667,95.29,B
1,30 = 37,510100631,64,667,95.29,B
1,30 = 37,510100320,64,667,95.29,B
1,30 = 37,510100146,64,667,95.29,B
1,30 = 37,510101843,64,667,95.29,B
1,30 = 37,510102010,64,667,95.29,B
1,30 = 37,510101333,64,667,95.29,B
1,38 = 41,510100300,63,660,94.51,B
1,38 = 41,510100540,63,660,94.51,B
1,38 = 41,510101198,63,660,94.51,B
1,38 = 41,510100907,63,660,94.51,B
1,42 = 44,510100979,62,653,93.68,B
1,42 = 44,510101420,62,653,93.68,B
1,42 = 44,510101834,62,653,93.68,B
1,45 = 49,510101510,61,646,92.81,B-
1,45 = 49,510100977,61,646,92.81,B-
1,45 = 49,510100700,61,646,92.81,B-
1,45 = 49,510100767,61,646,92.81,B-
1,45 = 49,510100216,61,646,92.81,B-
1,50 = 52,510100583,60,639,91.74,B-
1,50 = 52,510100990,60,639,91.74,B-
1,50 = 52,510101318,60,639,91.74,B-
1,53 = 58,510101483,59,631,90.41,B-
1,53 = 58,510101803,59,631,90.41,B-
1,53 = 58,510101787,59,631,90.41,B-
1,53 = 58,510101018,59,631,90.41,B-
1,53 = 58,510101044,59,631,90.41,B-
1,53 = 58,510100152,59,631,90.41,B-
1,59 = 63,510100029,58,623,89.05,B-
1,59 = 63,510100304,58,623,89.05,B-
1,59 = 63,510100999,58,623,89.05,B-
1,59 = 63,510100897,58,623,89.05,B-
1,59 = 63,510101641,58,623,89.05,B-
1,64 = 70,510101829,57,615,87.75,B-
1,64 = 70,510100760,57,615,87.75,B-
1,64 = 70,510100967,57,615,87.75,B-
1,64 = 70,510101256,57,615,87.75,B-
1,64 = 70,510101263,57,615,87.75,B-
1,64 = 70,510100307,57,615,87.75,B-
1,64 = 70,510100065,57,615,87.75,B-
1,71 = 79,510100028,56,609,86.23,B-
1,71 = 79,510100314,56,609,86.23,B-
1,71 = 79,510100337,56,609,86.23,B-
1,71 = 79,510100423,56,609,86.23,B-
1,71 = 79,510100900,56,609,86.23,B-
1,71 = 79,510100870,56,609,86.23,B-
1,71 = 79,510101498,56,609,86.23,B-
1,71 = 79,510101472,56,609,86.23,B-
1,71 = 79,510101365,56,609,86.23,B-
1,80 = 83,510101358,55,602,84.51,B-
1,80 = 83,510101588,55,602,84.51,B-
