Areacode,Placement,Registration,Firstscore,Convertedscore,Percentile,Letterindex
1,1,510100149,92,792,99.82,A
1,2,510100731,85,729,98.93,A-
1,3,510100177,83,717,98.49,A-
1,4,510100533,80,699,97.67,B
1,5,510100707,79,694,97.39,B
1,6 = 9,510100170,78,689,97.09,B
1,6 = 9,510100231,78,689,97.09,B
1,6 = 9,510102052,78,689,97.09,B
1,6 = 9,510101999,78,689,97.09,B
1,10 = 11,510100454,77,684,96.69,B
1,10 = 11,510100719,77,684,96.69,B
1,12,510100409,76,679,96.3,B
1,13,510101416,74,671,95.64,B
1,14,510100863,73,667,95.27,B
1,15 = 16,510100724,71,659,94.36,B
1,15 = 16,510100179,71,659,94.36,B
1,17,510101483,69,650,93.34,B
1,18 = 19,510101420,68,646,92.84,B-
1,18 = 19,510100806,68,646,92.84,B-
1,20 = 23,510100548,66,639,91.82,B-
1,20 = 23,510100224,66,639,91.82,B-
1,20 = 23,510101212,66,639,91.82,B-
1,20 = 23,510102329,66,639,91.82,B-
1,24 = 26,510102054,65,636,91.28,B-
1,24 = 26,510100368,65,636,91.28,B-
1,24 = 26,510100805,65,636,91.28,B-
1,27 = 29,510100545,64,632,90.69,B-
1,27 = 29,510100280,64,632,90.69,B-
1,27 = 29,510101841,64,632,90.69,B-
1,30 = 31,510100764,63,628,90.03,B-
1,30 = 31,510100734,63,628,90.03,B-
1,32 = 33,510100550,62,624,89.34,B-
1,32 = 33,510100403,62,624,89.34,B-
1,34,510101861,61,621,88.68,B-
1,35 = 39,510101653,60,617,87.98,B-
1,35 = 39,510100295,60,617,87.98,B-
1,35 = 39,510100025,60,617,87.98,B-
1,35 = 39,510100701,60,617,87.98,B-
1,35 = 39,510100987,60,617,87.98,B-
1,40 = 41,510100137,59,613,87.26,B-
1,40 = 41,510100332,59,613,87.26,B-
1,42 = 45,510100416,57,607,85.79,B-
1,42 = 45,510101843,57,607,85.79,B-
1,42 = 45,510101762,57,607,85.79,B-
1,42 = 45,510102370,57,607,85.79,B-
1,46 = 48,510101428,56,604,85.09,B-
1,46 = 48,510100206,56,604,85.09,B-
1,46 = 48,510101133,56,604,85.09,B-
1,49 = 50,510100363,55,601,84.36,B-
1,49 = 50,510101255,55,601,84.36,B-
1,51 = 52,510101228,54,598,83.59,C
1,51 = 52,510100891,54,598,83.59,C
1,53,510100813,53,594,82.69,C
1,54 = 57,510101013,52,590,81.68,C
1,54 = 57,510100976,52,590,81.68,C
1,54 = 57,510100351,52,590,81.68,C
1,54 = 57,510101855,52,590,81.68,C
1,58 = 59,510101179,51,586,80.63,C
1,58 = 59,510100857,51,586,80.63,C
1,60 = 62,510100970,50,583,79.56,C
1,60 = 62,510100538,50,583,79.56,C
1,60 = 62,510100325,50,583,79.56,C
1,63 = 68,510100189,49,579,78.45,C
1,63 = 68,510100008,49,579,78.45,C
1,63 = 68,510101232,49,579,78.45,C
1,63 = 68,510101475,49,579,78.45,C
1,63 = 68,510101532,49,579,78.45,C
1,63 = 68,510101633,49,579,78.45,C
1,69,510100886,48,575,77.33,C
1,70 = 71,510100720,47,571,76.25,C
1,70 = 71,510100448,47,571,76.25,C
1,72 = 74,510100250,46,568,75.08,C
1,72 = 74,510100933,46,568,75.08,C
1,72 = 74,510102520,46,568,75.08,C
1,75 = 79,510101251,45,563,73.67,C
1,75 = 79,510100636,45,563,73.67,C
1,75 = 79,510100678,45,563,73.67,C
1,75 = 79,510100311,45,563,73.67,C
1,75 = 79,510100414,45,563,73.67,C
1,80 = 83,510100446,44,557,72.04,C
1,80 = 83,510100222,44,557,72.04,C
1,80 = 83,510100532,44,557,72.04,C
1,80 = 83,510101248,44,557,72.04,C
1,84 = 87,510102008,43,554,70.45,C
1,84 = 87,510102058,43,554,70.45,C
1,84 = 87,510100715,43,554,70.45,C
1,84 = 87,510100364,43,554,70.45,C
1,88 = 91,510100354,42,549,68.82,C-
1,88 = 91,510100151,42,549,68.82,C-
1,88 = 91,510100738,42,549,68.82,C-
1,88 = 91,510100739,42,549,68.82,C-
1,92 = 93,510100657,41,544,66.99,C-
1,92 = 93,510101190,41,544,66.99,C-
1,94 = 96,510102107,40,539,65,C-
1,94 = 96,510100642,40,539,65,C-
1,94 = 96,510101003,40,539,65,C-
1,97 = 100,510100559,39,533,63.02,C-
1,97 = 100,510100459,39,533,63.02,C-
1,97 = 100,510101760,39,533,63.02,C-
1,97 = 100,510101453,39,533,63.02,C-
1,101 = 106,510101424,38,527,60.83,C-
1,101 = 106,510101221,38,527,60.83,C-
1,101 = 106,510101556,38,527,60.83,C-
1,101 = 106,510100589,38,527,60.83,C-
1,101 = 106,510100557,38,527,60.83,C-
1,101 = 106,510100879,38,527,60.83,C-
1,107 = 111,510100931,37,521,58.41,C-
1,107 = 111,510100995,37,521,58.41,C-
1,107 = 111,510100306,37,521,58.41,C-
1,107 = 111,510100226,37,521,58.41,C-
1,107 = 111,510100083,37,521,58.41,C-
1,112 = 114,510100131,36,515,56.04,C-
1,112 = 114,510100135,36,515,56.04,C-
1,112 = 114,510100345,36,515,56.04,C-
1,115 = 120,510100376,35,509,53.4,C-
1,115 = 120,510100959,35,509,53.4,C-
1,115 = 120,510101009,35,509,53.4,C-
1,115 = 120,510101030,35,509,53.4,C-
1,115 = 120,510101668,35,509,53.4,C-
1,115 = 120,510101340,35,509,53.4,C-
1,121 = 124,510101108,34,501,50.58,C-
1,121 = 124,510101219,34,501,50.58,C-
1,121 = 124,510100305,34,501,50.58,C-
1,121 = 124,510100126,34,501,50.58,C-
1,125 = 133,510100085,33,494,47.57,D
1,125 = 133,510100079,33,494,47.57,D
1,125 = 133,510100040,33,494,47.57,D
1,125 = 133,510100317,33,494,47.57,D
1,125 = 133,510100527,33,494,47.57,D
1,125 = 133,510101147,33,494,47.57,D
1,125 = 133,510101166,33,494,47.57,D
1,125 = 133,510101705,33,494,47.57,D
1,125 = 133,510101814,33,494,47.57,D
1,134 = 139,510101417,32,485,44.07,D
1,134 = 139,510101518,32,485,44.07,D
1,134 = 139,510100487,32,485,44.07,D
1,134 = 139,510100362,32,485,44.07,D
1,134 = 139,510101037,32,485,44.07,D
1,134 = 139,510100984,32,485,44.07,D
1,140 = 147,510100998,31,476,40.59,D
1,140 = 147,510100801,31,476,40.59,D
1,140 = 147,510100041,31,476,40.59,D
1,140 = 147,510101394,31,476,40.59,D
1,140 = 147,510101706,31,476,40.59,D
1,140 = 147,510101545,31,476,40.59,D
1,140 = 147,510101740,31,476,40.59,D
1,140 = 147,510101746,31,476,40.59,D
1,148 = 159,510101858,30,467,37.14,D
1,148 = 159,510102333,30,467,37.14,D
1,148 = 159,510102481,30,467,37.14,D
1,148 = 159,510101444,30,467,37.14,D
1,148 = 159,510101324,30,467,37.14,D
1,148 = 159,510101368,30,467,37.14,D
1,148 = 159,510101226,30,467,37.14,D
1,148 = 159,510101265,30,467,37.14,D
1,148 = 159,510100138,30,467,37.14,D
1,148 = 159,510100831,30,467,37.14,D
1,148 = 159,510100710,30,467,37.14,D
1,148 = 159,510100673,30,467,37.14,D
1,160 = 164,510100842,29,457,33.48,D
1,160 = 164,510100081,29,457,33.48,D
1,160 = 164,510100318,29,457,33.48,D
1,160 = 164,510102174,29,457,33.48,D
1,160 = 164,510101857,29,457,33.48,D
1,165 = 169,510102521,28,447,29.91,D-
1,165 = 169,510101202,28,447,29.91,D-
1,165 = 169,510100436,28,447,29.91,D-
1,165 = 169,510100117,28,447,29.91,D-
1,165 = 169,510100716,28,447,29.91,D-
1,170 = 178,510100652,27,436,26.21,D-
1,170 = 178,510100938,27,436,26.21,D-
1,170 = 178,510101039,27,436,26.21,D-
1,170 = 178,510100082,27,436,26.21,D-
1,170 = 178,510100214,27,436,26.21,D-
1,170 = 178,510100279,27,436,26.21,D-
1,170 = 178,510101364,27,436,26.21,D-
1,170 = 178,510101501,27,436,26.21,D-
