Areacode,Placement,Registration,Firstscore,Convertedscore,Percentile,Letterindex
1,1,510100281,80,527,60.7,C-
2,1,510201793,96,657,94.14,B
2,2 = 3,510200336,94,621,88.62,B-
2,2 = 3,510201644,94,621,88.62,B-
2,4,510200449,87,557,71.98,C
2,5 = 7,510200459,86,552,69.98,C
2,5 = 7,510200403,86,552,69.98,C
2,5 = 7,510201042,86,552,69.98,C
2,8 = 9,510200820,85,547,68.22,C-
2,8 = 9,510201779,85,547,68.22,C-
2,10 = 11,510201825,84,542,66.22,C-
2,10 = 11,510200176,84,542,66.22,C-
2,12 = 13,510200222,83,537,64.38,C-
2,12 = 13,510200896,83,537,64.38,C-
2,14,510200220,82,533,63.04,C-
2,15,510200162,81,530,61.87,C-
2,16,510201735,79,524,59.44,C-
2,17,510200461,78,521,58.36,C-
2,18,510201044,77,517,56.77,C-
2,19,510201762,75,510,53.84,C-
2,20,510201549,74,508,53.09,C-
2,21 = 23,510201721,72,502,50.75,C-
2,21 = 23,510200482,72,502,50.75,C-
2,21 = 23,510200240,72,502,50.75,C-
2,24,510200303,70,497,48.66,D
2,25,510200965,69,493,47.4,D
2,26 = 27,510200400,67,489,45.56,D
2,26 = 27,510200427,67,489,45.56,D
2,28 = 29,510200371,65,485,44.14,D
2,28 = 29,510200995,65,485,44.14,D
2,30,510200231,63,481,42.39,D
2,31,510200892,62,480,41.97,D
2,32,510200505,61,479,41.63,D
2,33 = 34,510200803,60,477,40.96,D
2,33 = 34,510201785,60,477,40.96,D
2,35,510200441,59,475,40.21,D
2,36,510201347,58,473,39.54,D
2,37,510200082,57,472,38.87,D
2,38 = 39,510200977,56,470,38.21,D
2,38 = 39,510200966,56,470,38.21,D
2,40,510201754,55,468,37.29,D
2,41 = 43,510200589,54,465,36.28,D
2,41 = 43,510200301,54,465,36.28,D
2,41 = 43,510200326,54,465,36.28,D
2,44,510201087,53,463,35.61,D
2,45 = 46,510201720,52,462,35.11,D
2,45 = 46,510201006,52,462,35.11,D
2,47 = 48,510200411,51,460,34.44,D
2,47 = 48,510200443,51,460,34.44,D
2,49 = 50,510200248,50,457,33.52,D
2,49 = 50,510200073,50,457,33.52,D
2,51,510200446,48,450,31.02,D
2,52 = 53,510200944,47,448,30.01,D-
2,52 = 53,510201076,47,448,30.01,D-
2,54,510200307,44,441,27.75,D-
2,55,510201520,43,438,26.92,D-
2,56 = 57,510200847,41,433,25,D-
2,56 = 57,510200635,41,433,25,D-
2,58,510200027,40,430,24.24,D-
2,59 = 61,510200224,38,426,23.07,D-
2,59 = 61,510201193,38,426,23.07,D-
2,59 = 61,510201338,38,426,23.07,D-
2,62 = 64,510201594,33,414,19.48,D-
2,62 = 64,510200230,33,414,19.48,D-
2,62 = 64,510200255,33,414,19.48,D-
2,65 = 66,510200086,32,409,18.06,D-
2,65 = 66,510200310,32,409,18.06,D-
2,67,510200388,28,389,13.29,F
2,68 = 69,510200109,27,381,11.78,F
2,68 = 69,510200641,27,381,11.78,F
2,70 = 71,510201124,26,377,10.86,F
2,70 = 71,510200233,26,377,10.86,F
2,72,510200974,25,370,9.69,F
2,73,510200044,24,364,8.69,F
2,74,510201022,22,355,7.35,F
2,75 = 76,510200023,21,347,6.27,F
2,75 = 76,510200445,21,347,6.27,F
2,77,510201780,16,296,2.09,F
2,78,510200653,15,285,1.58,F
2,79,510200468,14,267,1,F
3,1,510301075,28,389,13.29,F
4,1,510400226,69,493,47.4,D
4,2,510400629,64,483,43.14,D
4,3,510401347,56,470,38.21,D
4,4,510401396,49,454,32.27,D
4,5,510401318,34,418,20.56,D-
5,1,510500278,45,444,28.59,D-
5,2,510501049,34,418,20.56,D-
7,1,513102983,93,605,85.2,B-
7,2,510701226,90,576,77.75,C
7,3,510700439,86,552,69.98,C
7,4,510700778,81,530,61.87,C-
7,5,510701682,79,524,59.44,C-
7,6,510701052,78,521,58.36,C-
7,7,510702988,71,499,49.66,D
7,8,510700152,64,483,43.14,D
7,9,510700943,55,468,37.29,D
7,10 = 12,510700672,48,450,31.02,D
7,10 = 12,510702254,48,450,31.02,D
7,10 = 12,510701738,48,450,31.02,D
7,13,510700626,43,438,26.92,D-
7,14,510702267,42,436,26,D-
7,15,510702261,39,429,23.91,D-
7,16,510700629,38,426,23.07,D-
7,17,510700755,34,418,20.56,D-
7,18,510700979,33,414,19.48,D-
7,19 = 20,510702238,28,389,13.29,F
7,19 = 20,510700630,28,389,13.29,F
7,21 = 22,510700632,24,364,8.69,F
7,21 = 22,510702242,24,364,8.69,F
7,23,510700974,20,338,5.26,F
8,1,513200396,48,450,31.02,D
9,1,510900586,96,657,94.14,B
9,2,510900517,93,605,85.2,B-
9,3,510901434,52,462,35.11,D
9,4,510900676,34,418,20.56,D-
10,1,511000527,67,489,45.56,D
10,2,511000893,26,377,10.86,F
11,1,511111542,40,430,24.24,D-
11,2,511112225,33,414,19.48,D-
11,3,511111994,32,409,18.06,D-
11,4,511111406,27,381,11.78,F
11,5,511113201,18,322,3.76,F
12,1 = 4,511200199,98,713,98.32,A-
12,1 = 4,511200208,98,713,98.32,A-
12,1 = 4,511201582,98,713,98.32,A-
12,1 = 4,511201590,98,713,98.32,A-
12,5 = 7,511201576,97,679,96.32,B
12,5 = 7,511201578,97,679,96.32,B
12,5 = 7,511203624,97,679,96.32,B
12,8 = 11,511202252,96,657,94.14,B
12,8 = 11,511201580,96,657,94.14,B
12,8 = 11,511200209,96,657,94.14,B
12,8 = 11,511200206,96,657,94.14,B
12,12 = 16,511201593,95,637,91.47,B-
12,12 = 16,511202277,95,637,91.47,B-
12,12 = 16,511201958,95,637,91.47,B-
12,12 = 16,511202995,95,637,91.47,B-
12,12 = 16,511203054,95,637,91.47,B-
12,17 = 19,511200169,94,621,88.62,B-
12,17 = 19,511200198,94,621,88.62,B-
12,17 = 19,511200204,94,621,88.62,B-
12,20 = 24,511200207,93,605,85.2,B-
12,20 = 24,511200213,93,605,85.2,B-
12,20 = 24,511201579,93,605,85.2,B-
12,20 = 24,511200261,93,605,85.2,B-
12,20 = 24,511203027,93,605,85.2,B-
12,25 = 27,511202259,92,593,82.35,C
12,25 = 27,511201585,92,593,82.35,C
12,25 = 27,511201587,92,593,82.35,C
12,28 = 30,511200214,91,584,80.01,C
12,28 = 30,511200210,91,584,80.01,C
12,28 = 30,511200201,91,584,80.01,C
12,31 = 32,511200205,90,576,77.75,C
12,31 = 32,511202301,90,576,77.75,C
12,33 = 36,511202005,89,570,75.66,C
12,33 = 36,511201599,89,570,75.66,C
12,33 = 36,511200538,89,570,75.66,C
12,33 = 36,511200203,89,570,75.66,C
12,37 = 38,511200202,88,564,73.82,C
12,37 = 38,511200211,88,564,73.82,C
12,39,511200200,86,552,69.98,C
12,40 = 41,511200212,84,542,66.22,C-
12,40 = 41,511203781,84,542,66.22,C-
12,42,511201598,83,537,64.38,C-
12,43 = 44,511204349,80,527,60.7,C-
12,43 = 44,511201601,80,527,60.7,C-
12,45,511203008,78,521,58.36,C-
12,46 = 47,511203000,77,517,56.77,C-
12,46 = 47,511201589,77,517,56.77,C-
12,48,511201594,73,505,52.09,C-
12,49,511201586,72,502,50.75,C-
12,50,511202851,70,497,48.66,D
12,51,511201183,67,489,45.56,D
12,52,511203003,66,487,44.81,D
12,53,511202336,65,485,44.14,D
12,54,511201894,64,483,43.14,D
12,55,511200858,56,470,38.21,D
12,56,511201125,54,465,36.28,D
12,57,511201767,51,460,34.44,D
12,58,511200259,50,457,33.52,D
12,59,511200541,45,444,28.59,D-
12,60,511202935,44,441,27.75,D-
12,61,511203166,29,397,15.13,F
12,62,511204255,16,296,2.09,F
13,1,511301803,85,547,68.22,C-
13,2,511301385,68,491,46.48,D
13,3,511302135,48,450,31.02,D
13,4,511301890,38,426,23.07,D-
13,5,511300320,37,424,22.24,D-
13,6,511301822,28,389,13.29,F
15,1,511500943,91,584,80.01,C
15,2,511500017,81,530,61.87,C-
15,3,511501011,55,468,37.29,D
16,1,511600254,96,657,94.14,B
16,2,511600249,79,524,59.44,C-
17,1,511700009,89,570,75.66,C
17,2 = 3,511700038,68,491,46.48,D
17,2 = 3,511700543,68,491,46.48,D
17,4,511701570,64,483,43.14,D
17,5,511701148,35,420,21.07,D-
17,6,511700010,31,404,16.8,D-
17,7,511700127,26,377,10.86,F
17,8,511701292,14,267,1,F
18,1,511800076,85,547,68.22,C-
18,2,511800428,59,475,40.21,D
18,3,511800014,48,450,31.02,D
18,4,511800980,47,448,30.01,D-
18,5,511800328,46,446,29.34,D-
19,1,511901076,80,527,60.7,C-
19,2,511900005,74,508,53.09,C-
19,3,511903042,70,497,48.66,D
19,4,511901187,49,454,32.27,D
19,5,511902428,44,441,27.75,D-
19,6,511900073,43,438,26.92,D-
19,7,511901596,42,436,26,D-
19,8,511902340,41,433,25,D-
19,9,511900167,36,422,21.65,D-
19,10,511901356,35,420,21.07,D-
19,11,511900721,33,414,19.48,D-
19,12 = 13,511900297,32,409,18.06,D-
19,12 = 13,511900605,32,409,18.06,D-
