Areacode,Placement,Registration,Firstscore,Convertedscore,Percentile,Letterindex
1,1 = 3,510100777,94,800,99.97,A
1,1 = 3,510100792,90,800,99.87,A
1,1 = 3,510100905,90,800,99.87,A
1,4,510100396,88,784,99.77,A
1,5 = 7,510100700,86,766,99.61,A
1,5 = 7,510100845,86,766,99.61,A
1,5 = 7,510101389,86,766,99.61,A
1,8 = 9,510100989,84,750,99.37,A
1,8 = 9,510100028,84,750,99.37,A
1,10 = 12,510100394,83,740,99.18,A-
1,10 = 12,510100883,83,740,99.18,A-
1,10 = 12,510102054,83,740,99.18,A-
1,13,510100978,81,725,98.82,A-
1,14,510101156,80,721,98.65,A-
1,15 = 21,510101433,79,716,98.47,A-
1,15 = 21,510101592,79,716,98.47,A-
1,15 = 21,510100147,79,716,98.47,A-
1,15 = 21,510100207,79,716,98.47,A-
1,15 = 21,510100399,79,716,98.47,A-
1,15 = 21,510100327,79,716,98.47,A-
1,15 = 21,510101999,79,716,98.47,A-
1,22,510100979,78,711,98.27,A-
1,23,510100296,77,706,98.02,A-
1,24 = 26,510100249,76,700,97.76,A-
1,24 = 26,510101506,76,700,97.76,A-
1,24 = 26,510101551,76,700,97.76,A-
1,27,510100309,75,696,97.52,B
1,28 = 31,510100257,74,691,97.22,B
1,28 = 31,510101267,74,691,97.22,B
1,28 = 31,510101208,74,691,97.22,B
1,28 = 31,510100974,74,691,97.22,B
1,32 = 33,510100423,73,687,96.9,B
1,32 = 33,510100723,73,687,96.9,B
1,34 = 39,510100683,72,682,96.56,B
1,34 = 39,510100653,72,682,96.56,B
1,34 = 39,510100205,72,682,96.56,B
1,34 = 39,510100020,72,682,96.56,B
1,34 = 39,510100981,72,682,96.56,B
1,34 = 39,510101258,72,682,96.56,B
1,40 = 43,510100213,71,678,96.21,B
1,40 = 43,510100300,71,678,96.21,B
1,40 = 43,510100734,71,678,96.21,B
1,40 = 43,510100563,71,678,96.21,B
1,44 = 48,510100367,70,673,95.86,B
1,44 = 48,510100008,70,673,95.86,B
1,44 = 48,510101313,70,673,95.86,B
1,44 = 48,510101044,70,673,95.86,B
1,44 = 48,510100852,70,673,95.86,B
1,49 = 52,510100323,69,669,95.44,B
1,49 = 52,510100631,69,669,95.44,B
1,49 = 52,510100426,69,669,95.44,B
1,49 = 52,510102010,69,669,95.44,B
1,53 = 57,510100450,68,664,94.99,B
1,53 = 57,510100712,68,664,94.99,B
1,53 = 57,510100291,68,664,94.99,B
1,53 = 57,510100231,68,664,94.99,B
1,53 = 57,510101329,68,664,94.99,B
1,58,510101805,67,660,94.57,B
1,59 = 60,510100003,66,657,94.16,B
1,59 = 60,510100705,66,657,94.16,B
1,61 = 65,510100674,65,653,93.71,B
1,61 = 65,510100224,65,653,93.71,B
1,61 = 65,510100261,65,653,93.71,B
1,61 = 65,510100405,65,653,93.71,B
1,61 = 65,510100999,65,653,93.71,B
1,66 = 68,510101205,64,649,93.23,B-
1,66 = 68,510100906,64,649,93.23,B-
1,66 = 68,510100730,64,649,93.23,B-
1,69 = 75,510100422,63,646,92.75,B-
1,69 = 75,510100216,63,646,92.75,B-
1,69 = 75,510100050,63,646,92.75,B-
1,69 = 75,510100918,63,646,92.75,B-
1,69 = 75,510101553,63,646,92.75,B-
1,69 = 75,510101438,63,646,92.75,B-
1,69 = 75,510102042,63,646,92.75,B-
1,76 = 77,510100703,62,642,92.22,B-
1,76 = 77,510100725,62,642,92.22,B-
1,78 = 80,510100152,61,638,91.64,B-
1,78 = 80,510100346,61,638,91.64,B-
1,78 = 80,510101141,61,638,91.64,B-
1,81 = 87,510101129,60,635,91.07,B-
1,81 = 87,510100904,60,635,91.07,B-
1,81 = 87,510101297,60,635,91.07,B-
1,81 = 87,510101467,60,635,91.07,B-
1,81 = 87,510100767,60,635,91.07,B-
1,81 = 87,510100642,60,635,91.07,B-
1,81 = 87,510100624,60,635,91.07,B-
1,88 = 94,510100704,59,631,90.51,B-
1,88 = 94,510101505,59,631,90.51,B-
1,88 = 94,510101614,59,631,90.51,B-
1,88 = 94,510101435,59,631,90.51,B-
1,88 = 94,510100893,59,631,90.51,B-
1,88 = 94,510100973,59,631,90.51,B-
1,88 = 94,510102129,59,631,90.51,B-
1,95 = 100,510100897,58,628,89.91,B-
1,95 = 100,510100667,58,628,89.91,B-
1,95 = 100,510100721,58,628,89.91,B-
1,95 = 100,510100342,58,628,89.91,B-
1,95 = 100,510100193,58,628,89.91,B-
1,95 = 100,510100065,58,628,89.91,B-
1,101 = 105,510100035,57,624,89.32,B-
1,101 = 105,510100215,57,624,89.32,B-
1,101 = 105,510100815,57,624,89.32,B-
1,101 = 105,510100469,57,624,89.32,B-
1,101 = 105,510101207,57,624,89.32,B-
1,106 = 107,510100967,56,621,88.68,B-
1,106 = 107,510102123,56,621,88.68,B-
1,108 = 113,510100964,55,617,87.97,B-
1,108 = 113,510100912,55,617,87.97,B-
1,108 = 113,510101006,55,617,87.97,B-
1,108 = 113,510101306,55,617,87.97,B-
1,108 = 113,510100177,55,617,87.97,B-
1,108 = 113,510100063,55,617,87.97,B-
1,114,510100535,54,613,87.23,B-
1,115 = 120,510100817,53,610,86.4,B-
1,115 = 120,510100828,53,610,86.4,B-
1,115 = 120,510100760,53,610,86.4,B-
1,115 = 120,510100728,53,610,86.4,B-
1,115 = 120,510100125,53,610,86.4,B-
1,115 = 120,510101027,53,610,86.4,B-
1,121 = 126,510101051,52,606,85.52,B-
1,121 = 126,510100975,52,606,85.52,B-
1,121 = 126,510100016,52,606,85.52,B-
1,121 = 126,510100315,52,606,85.52,B-
1,121 = 126,510100765,52,606,85.52,B-
1,121 = 126,510100460,52,606,85.52,B-
1,127 = 130,510100786,51,602,84.62,B-
1,127 = 130,510100772,51,602,84.62,B-
1,127 = 130,510101371,51,602,84.62,B-
1,127 = 130,510101557,51,602,84.62,B-
1,131 = 135,510101256,50,598,83.63,C
1,131 = 135,510100876,50,598,83.63,C
1,131 = 135,510100892,50,598,83.63,C
1,131 = 135,510100350,50,598,83.63,C
1,131 = 135,510100072,50,598,83.63,C
1,136 = 144,510100142,49,594,82.58,C
1,136 = 144,510100218,49,594,82.58,C
1,136 = 144,510100330,49,594,82.58,C
1,136 = 144,510100304,49,594,82.58,C
1,136 = 144,510100525,49,594,82.58,C
1,136 = 144,510100903,49,594,82.58,C
1,136 = 144,510100965,49,594,82.58,C
1,136 = 144,510101293,49,594,82.58,C
1,136 = 144,510102094,49,594,82.58,C
1,145 = 152,510102035,48,590,81.52,C
1,145 = 152,510101333,48,590,81.52,C
1,145 = 152,510101379,48,590,81.52,C
1,145 = 152,510101787,48,590,81.52,C
1,145 = 152,510100934,48,590,81.52,C
1,145 = 152,510100878,48,590,81.52,C
1,145 = 152,510100851,48,590,81.52,C
1,145 = 152,510100860,48,590,81.52,C
1,153 = 158,510100909,47,586,80.38,C
1,153 = 158,510101829,47,586,80.38,C
1,153 = 158,510101443,47,586,80.38,C
1,153 = 158,510101324,47,586,80.38,C
1,153 = 158,510100581,47,586,80.38,C
1,153 = 158,510100838,47,586,80.38,C
1,159 = 169,510100001,46,581,79.12,C
1,159 = 169,510101834,46,581,79.12,C
1,159 = 169,510101803,46,581,79.12,C
1,159 = 169,510101524,46,581,79.12,C
1,159 = 169,510100874,46,581,79.12,C
1,159 = 169,510101033,46,581,79.12,C
1,159 = 169,510101211,46,581,79.12,C
1,159 = 169,510101243,46,581,79.12,C
1,159 = 169,510101196,46,581,79.12,C
1,159 = 169,510102172,46,581,79.12,C
1,159 = 169,510102131,46,581,79.12,C
1,170 = 175,510102467,45,577,77.79,C
1,170 = 175,510101167,45,577,77.79,C
1,170 = 175,510101457,45,577,77.79,C
1,170 = 175,510100842,45,577,77.79,C
1,170 = 175,510100754,45,577,77.79,C
1,170 = 175,510100540,45,577,77.79,C
1,176 = 187,510100461,44,572,76.36,C
1,176 = 187,510100585,44,572,76.36,C
1,176 = 187,510100637,44,572,76.36,C
1,176 = 187,510100708,44,572,76.36,C
1,176 = 187,510100392,44,572,76.36,C
1,176 = 187,510101498,44,572,76.36,C
1,176 = 187,510101700,44,572,76.36,C
1,176 = 187,510101299,44,572,76.36,C
1,176 = 187,510101302,44,572,76.36,C
1,176 = 187,510100966,44,572,76.36,C
1,176 = 187,510102116,44,572,76.36,C
1,176 = 187,510102085,44,572,76.36,C
1,188 = 202,510101991,43,567,74.91,C
1,188 = 202,510102491,43,567,74.91,C
1,188 = 202,510100971,43,567,74.91,C
1,188 = 202,510100955,43,567,74.91,C
1,188 = 202,510100858,43,567,74.91,C
1,188 = 202,510101305,43,567,74.91,C
1,188 = 202,510101355,43,567,74.91,C
1,188 = 202,510101365,43,567,74.91,C
1,188 = 202,510101707,43,567,74.91,C
1,188 = 202,510101597,43,567,74.91,C
1,188 = 202,510100032,43,567,74.91,C
1,188 = 202,510100697,43,567,74.91,C
1,188 = 202,510100645,43,567,74.91,C
1,188 = 202,510100569,43,567,74.91,C
1,188 = 202,510100531,43,567,74.91,C
1,203 = 212,510100528,42,562,73.37,C
1,203 = 212,510100425,42,562,73.37,C
1,203 = 212,510100663,42,562,73.37,C
1,203 = 212,510100825,42,562,73.37,C
1,203 = 212,510100163,42,562,73.37,C
1,203 = 212,510100359,42,562,73.37,C
1,203 = 212,510101730,42,562,73.37,C
1,203 = 212,510100870,42,562,73.37,C
1,203 = 212,510101127,42,562,73.37,C
1,203 = 212,510102374,42,562,73.37,C
1,213 = 228,510102276,41,556,71.65,C
1,213 = 228,510102019,41,556,71.65,C
1,213 = 228,510100869,41,556,71.65,C
1,213 = 228,510100850,41,556,71.65,C
1,213 = 228,510100990,41,556,71.65,C
1,213 = 228,510101722,41,556,71.65,C
1,213 = 228,510101796,41,556,71.65,C
1,213 = 228,510101366,41,556,71.65,C
1,213 = 228,510101343,41,556,71.65,C
1,213 = 228,510101403,41,556,71.65,C
1,213 = 228,510101426,41,556,71.65,C
1,213 = 228,510101318,41,556,71.65,C
1,213 = 228,510100225,41,556,71.65,C
